school_id,school_name,degree_type,application_unit_type,parent_school_name,campus_name,city,state,state_abbrev,country_or_territory,website,source_name,source_url,source_page_updated,source_last_checked,source_acronym,accreditation_status,next_survey_date,initial_accreditation_year,campus_type_note,application_unit_assumption,active_in_universe,manual_exclusion_flag,exclusion_reason,research_stage,data_confidence,last_verified_date,notes,accepts_oos,accepts_international,accepts_canadian,accepts_daca,median_mcat,median_gpa,mcat_10th_percentile,mcat_90th_percentile,gpa_10th_percentile,gpa_90th_percentile,class_size,in_state_tuition_fees_insurance,out_state_tuition_fees_insurance,estimated_coa_in_state,estimated_coa_out_state,expected_scholarship,average_grad_indebtedness,home_residency_programs_notes,match_list_source_url,curriculum_source_url,tuition_source_url,admissions_source_url,admissions_mcat_fit_score,admissions_gpa_fit_score,admissions_oos_friendliness_score,admissions_mission_fit_score,admissions_research_fit_score,admissions_clinical_fit_score,admissions_probability_override,attendance_prestige_score,attendance_cost_score,attendance_location_score,attendance_match_outcomes_score,attendance_research_score,attendance_culture_score,attendance_curriculum_score,four_year_happiness_score,regret_index_score,national_mobility_score,debt_burden_score,hidden_curriculum_score,residency_goal_alignment_score,specialty_optionality_score,weather_score,social_life_score,dating_score,outdoor_activities_score,airport_access_score,cost_of_living_score,political_cultural_fit_score,family_access_score,Could I realistically see myself living here for 4 years? (1-10),ortho_strength_score,derm_strength_score,ent_strength_score,plastics_strength_score,neurosurgery_strength_score,ophtho_strength_score,academic_im_strength_score,academic_surgery_strength_score,true_pf_preclinical,internal_ranking,aoa_present,mandatory_attendance,recorded_lectures,avg_weekly_required_hours,wellness_reputation_score
do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,DO,DO school/site,Edward Via College of Osteopathic Medicine,VCOM-Auburn Campus,Auburn,Alabama,AL,USA,http://www.vcom.edu/auburn,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,VCOM-Auburn Campus,COCA-accredited directory listing,,,AOA/COCA directory site row; parent program shown separately.,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,DO school/site,Alabama College of Osteopathic Medicine,ACOM,Dothan,Alabama,AL,USA,https://www.acom.edu/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,ACOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,DO school/site,Midwestern University Arizona College of Osteopathic Medicine,MWU/AZCOM,Glendale,Arizona,AZ,USA,https://www.midwestern.edu/#,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,MWU/AZCOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,DO school/site,"A.T. Still University, School of Osteopathic Medicine in Arizona",ATSU-SOMA,Mesa,Arizona,AZ,USA,https://www.atsu.edu/school-of-osteopathic-medicine-arizona/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,ATSU-SOMA,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_tvcom_the_valley_college_of_osteopathic_medicine_phoenix_arizona,The Valley College of Osteopathic Medicine,DO,DO school/site,The Valley College of Osteopathic Medicine,TVCOM,Phoenix,Arizona,AZ,USA,https://thevalleycom.org/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,TVCOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,DO school/site,Arkansas College of Osteopathic Medicine,ARCOM,Fort Smith,Arkansas,AR,USA,http://arcomedu.org/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,ARCOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,DO,DO school/site,New York Institute of Technology College of Osteopathic Medicine,NYITCOM-Jonesboro,Jonesboro,Arkansas,AR,USA,https://www.nyit.edu/arkansas,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,NYITCOM-Jonesboro,COCA-accredited directory listing,,,AOA/COCA directory site row; parent program shown separately.,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,DO school/site,California Health Sciences University College of Osteopathic Medicine,CHSU-COM,Clovis,California,CA,USA,https://osteopathic.chsu.edu/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,CHSU-COM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_westernu_comp_western_university_of_health_sciences_college_of_osteopathic_medic,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,DO,DO school/site,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,WesternU/COMP,Pomona,California,CA,USA,http://www.westernu.edu/osteopathic/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,WesternU/COMP,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_tucom_touro_university_college_of_osteopathic_medicine_california_vallejo_califo,Touro University College of Osteopathic Medicine-California,DO,DO school/site,Touro University College of Osteopathic Medicine-California,TUCOM,Vallejo,California,CA,USA,http://www.tu.edu/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,TUCOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
