school_id,school_name,degree_type,campus_name,state_abbrev,school_website,aacom_profile_url,aacom_profile_title,aacom_city,aacom_state_abbrev,aacom_slug,match_status,match_score,match_reason,discovery_method,source_last_checked,fetch_status,review_status,notes
do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,DO,ATSU-KCOM,MO,https://www.atsu.edu/kcom/,https://www.aacom.org/detail-pages/com/a-t-still-university-of-health-sciences---kirksville-college-of-osteopathic-medicine,A.T. Still University of Health Sciences - Kirksville College of Osteopathic Medicine,Kirksville,MO,a-t-still-university-of-health-sciences---kirksville-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.30; discovery_notes=https://www.aacom.org/sitemap.xml:fetched | https://www.aacom.org/sitemap_index.xml:fetch_failed_http_404 | https://www.aacom.org/wp-sitemap.xml:fetch_failed_http_404 | https://www.aacom.org/explore-med-schools/choose-do-explorer:fetched | https://www.aacom.org/explore-med-schools/choose-do-explorer?startRow=0&rowsPerPage=12:fetched | https://www.aacom.org/explore-med-schools/choose-do-explorer?startRow=12&rowsPerPage=12:fetched | https://www.aacom.org/explore-med-schools/choose-do-explorer?startRow=24&rowsPerPage=12:fetched | https://www.aacom.org/explore-med-schools/choose-do-explorer?startRow=36&rowsPerPage=12:fetched | https://www.aacom.org/explore-med-schools/choose-do-explorer?startRow=48&rowsPerPage=12:fetched | https://www.aacom.org/explore-med-schools/choose-do-explorer?startRow=60&rowsPerPage=12:fetched | https://www.aacom.org/explore-med-schools/choose-do-explorer?startRow=72&rowsPerPage=12:fetched | https://www.aacom.org/searches/reports/report/US-osteopathic-medical-schools-dashboard:fetched
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,ATSU-SOMA,AZ,https://www.atsu.edu/school-of-osteopathic-medicine-arizona/,https://www.aacom.org/detail-pages/com/a.t.-still-university-school-of-osteopathic-medicine-in-arizona,A.T. Still University-School of Osteopathic Medicine in Arizona,Mesa,AZ,a.t.-still-university-school-of-osteopathic-medicine-in-arizona,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.62
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,ACOM,AL,https://www.acom.edu/,https://www.aacom.org/detail-pages/com/alabama-college-of-osteopathic-medicine,Alabama College of Osteopathic Medicine,Dothan,AL,alabama-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.37
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,ARCOM,AR,http://arcomedu.org/,https://www.aacom.org/detail-pages/com/arkansas-college-of-osteopathic-medicine,Arkansas College of Osteopathic Medicine,Fort Smith,AR,arkansas-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,DO,BUCOM,TN,https://www.baptistu.edu/,https://www.aacom.org/detail-pages/com/baptist-health-sciences-university-college-of-osteopathic-medicine,Baptist Health Sciences University College of Osteopathic Medicine,Memphis,TN,baptist-health-sciences-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.17
do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,Burrell College School of Osteopathic Medicine,DO,BCSOM,NM,https://www.burrel.edu/,https://www.aacom.org/detail-pages/com/burrell-college-of-osteopathic-medicine,Burrell College of Health Sciences School of Osteopathic Medicine,Las Cruces,NM,burrell-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.00
do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",DO,BCSOM-FL,FL,https://www.burrel.edu/,https://www.aacom.org/detail-pages/com/burrell-college---florida-campus,Burrell College of Osteopathic Medicine - Florida Campus,Melbourne,FL,burrell-college---florida-campus,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.45
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,CHSU-COM,CA,https://osteopathic.chsu.edu/,https://www.aacom.org/detail-pages/com/california-health-sciences-university-college-of-osteopathic-medicine,California Health Sciences University College of Osteopathic Medicine,Clovis,CA,california-health-sciences-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,DO,CUSOM,NC,http://www.campbell.edu/cusom/,https://www.aacom.org/detail-pages/com/campbell-university-jerry-m.-wallace-school-of-osteopathic-medicine,Campbell University Jerry M. Wallace School of Osteopathic Medicine,Lillington,NC,campbell-university-jerry-m.-wallace-school-of-osteopathic-medicine,safe_match,1.04,High-confidence AACOM profile match.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.00
do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,DO,DMU-COM,IA,https://www.dmu.edu/com/,https://www.aacom.org/detail-pages/com/des-moines-university-college-of-osteopathic-medicine,Des Moines University College of Osteopathic Medicine,West Des Moines,IA,des-moines-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.00
