source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,coursework_upward_transfer,coursework_accelerated,coursework_supplemental,coursework_additional_info,notes
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,1,4,468.724,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Applicants are strongly encouraged to complete all prerequisite science courses and their corresponding labs at a traditional 4-year institution.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,2,4,432.755,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,We accept courses taken at the community college. Committee will assess performance in these courses as well as courses taken at the university level to determine readiness for medical education. Students are encouraged to take rigorous prerequisite courses to build a solid foundation.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,3,4,396.787,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,"We understand the diverse pathways applicants may pursue on their journey towards a career in medicine. While we accept coursework taken at a community college, we encourage applicants to complete advanced science courses at a regionally accredited four-year institution.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,4,4,360.819,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,"Although we accept courses successfully competed at a community college to satisfy some of our pre- matriculation course requirements, applicants should complete the bulk of their undergraduate coursework at a four-year, degree granting college of university.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,5,4,329.818,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Community college coursework is accepted if it is from a regionally accredited institution from the US or Canada.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,6,4,302.458,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,The University of Arizona College of Medicine - Tucson will consider community college coursework for pre- requisites.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,7,4,266.490,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,"All coursework from regionally accredited community colleges are accepted toward our admissions requirements. However, we do require at least one of the science prerequisite courses be completed as an upper- division (junior or senior-level) course which typically needs to be fulfilled through a 4-year college/university.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,8,4,230.522,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,"California Northstate University College of Medicine prefers a baccalaureate degree from a regionally accredited, four-year institution within the United States or a non-U.S. equivalent institution. We do not have a specific policy restricting coursework completed at a community college.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,9,4,183.898,CA,California University of Science and Medicine-School of Medicine,California University of Science and Medicine-School of Medicine,"CUSM recognizes the critical role of Community Colleges in offering accessible, high-quality education to students from diverse backgrounds. Consequently, we accept all coursework from regionally accredited community colleges that contribute towards the fulfillment of a four-year undergraduate degree at any US regionally accredited college or university.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,10,4,156.538,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,"community college courses are accepted for prerequisite courses (including English, Biology, Calculus, Chemistry, and Physics)",,,,
