source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,in_state_deposit,out_state_deposit,deposit_refundable_by,deposit_due,notes
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,1,4,648.724,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,$100,$100,,"April 30, 2026","Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,2,4,620.973,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,$100,$100,"April 30, 2026","April 30, 2026","Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,3,4,593.223,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,,,,,"Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,4,4,565.473,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,,,,,"Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,5,4,534.473,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),,,,,"Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,6,4,506.722,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,,,,,"Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,7,4,478.972,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,,,,,"Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,8,4,451.222,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,$100,$100,,"April 30, 2026","Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,9,4,423.472,CA,California University of Science and Medicine-School of Medicine,California University of Science and Medicine-School of Medicine,$100,$100,,"July 1, 2026","Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,10,4,395.721,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,$50,$50,,"April 29, 2026","Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
aamc_msar_deposit_information,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/18_msar001-msar-deposit-information-1.pdf,11,4,367.971,CA,Kaiser Permanente Bernard J. Tyson School of Medicine,Kaiser Permanente Bernard J. Tyson School of Medicine,$100,$100,"July 27, 2026","May 30, 2025","Boolean deposit fields are rendered as symbols, not plain text; amount and date fields are parsed."
