source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,support_systems_for_gender_and_sexual_minority_students,notes
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,1,4,599.661,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,"The Whiddon College of Medicine offers several organizations to support our medical students. Notably, MedPride and Allies is a student organization for those who identify as lesbian, gay, bisexual, transgender, queer (LGBTQ). Its goals include increasing the visibility of LGBTQ students, fostering a supportive and welcoming community within the healthcare system, and raising awareness of the specific needs of LGBTQ patients. Additionally, we have a chapter of the American Medical Women's Association (AMWA). AMWA is the oldest multispecialty organization dedicated to advancing women in medicine, advocating for equity, and ensuring excellence in healthcare.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,2,4,577.661,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,3,4,519.661,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,"Our Whole Health emphasizes well-being for all students. Support systems include access to peer tutoring, mental health resources that address specific needs for medical students. and students are encouraged to establish or join interest groups to build community and advocate for equity in medicine. 'Houses' foster a safe space for collaboration, mentorship, and peer support, while institutional policies protect against discrimination and ensure equitable treatment.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,4,4,497.660,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,All students are considered important https://medicine.uams.edu/about/professionalism-guidelines/,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,5,4,475.660,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),N/A,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,6,4,453.660,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,"Student Life: health, wellness, campus health, mental health, fitness https://medicine.arizona.edu/internal-resources/student-affairs/student-life",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,7,4,350.660,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,"The LGBTQ in Medicine student interest group serves our campus' connection to the LGBTQ community in Phoenix. With a focus on LGBTQ health and social issues, the group seeks to foster a welcoming, supportive environment for our students and offer education about the health issues and difficulties affecting LGBTQ individuals, their families, and communities. The group is dedicated to keeping the student body informed about issues surrounding the LGBTQ community by hosting social events, guest speakers, patient panels, and connecting students with LGBTQ events and service opportunities throughout the Valley. Our Office of Health Care Advancement also offers MedSafeZone and Transgender Affirming Healthcare training opportunities.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,8,4,332.660,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,LGBTQIA Student Interest Group,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,9,4,310.659,CA,California University of Science and Medicine-School of Medicine,California University of Science and Medicine-School of Medicine,"CUSM's Office of Equity, Diversity, and Inclusion serves as a great source of programming and support for gender and sexual minority students.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,10,4,234.659,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,"CDU is committed to supporting students who identify as LGBTQIA+ through student services, student organizations, as well as educational and community support. CDU College of Medicine is committed to creating and maintaining a learning environment that supports and encourages a culture of respect between teacher and learner. The MD Program ensures that the learning environment is conducive to the ongoing development of explicit and appropriate professional behaviors in its medical students, faculty, and staff at all locations and is one in which all individuals are treated with respect.",
