source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,interview_procedures,interview_invitation_timing,interview_day,regional_interviews,recorded_video_interviews,notes
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,1,4,438.163,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Students meet one-on-one with two interviewers. Interviews last 30 to 45 minutes each and are conversational. Interviews will be virtual for the 2026- 2027 interview cycle.,Early Decision interview invitations go out in the first week of September; all other invitations begin in mid- September.,"The interview day begins at 9:00 AM with a welcome, that includes information about financial aid as well as how the admissions process works, this is followed by their interviews at 10:00 AM and 11:00 AM. After the interviews, the applicants meet virtually with medical students for an informal information session that includes time for questions, after which they go to breakout rooms to meet in small groups with current students for more insight about the Frederick P. Whiddon College of Medicine from the student perspective. They then come back to the main room for a short closing session led by the admissions team.",Regional interviews are not available.,Interviews will be virtual for the 2026- 2027 cycle.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,2,4,342.163,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Virtual interviews include a one-on-one with a member of the admissions committee and a nine- station MMI.,July 15,Virtual interviews include a one-on-one with a member of the admissions committee and a nine- station MMI. Interviewees also hear from the admissions team and meet with current medical students during the virtual interview day program.,Regional interviews are not available.,Recorded video interviews are not available.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,3,4,93.163,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,"Interviews are two 30 minute one-on-one interviews. Interviewers are blinded to MCAT performance, academic background, and biographic information. The rest of the interview day is designed for applicants to learn about AWSOM and ask questions.",Invitations will be sent beginning late July/ early August. Interviews will begin in late August 2026 and continue until February 2027.,"The goal of the interview day at AWSOM is not only for us to get to know you, but also for you to get to know us and start picturing yourself as an AWSOM medical student. Interview day is organized to give select applicants a detailed introduction to the many exciting opportunities AWSOM offers medical students. By the end of the interview day, through engaging conversations with faculty and staff, you will understand what it will be like to be a medical student at AWSOM. Interviews are offered to select applicants by invitation. Additional information and instructions on selecting an interview day are sent via email.",N/A. All interviews will be conducted via Zoom.,All interviews will be conducted via Zoom.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,4,8,573.163,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,"""Blind"" interviews on scheduled interview dates in September through January. Some interviews will be conducted on weekdays while other interview days will be on Saturdays.",Arkansas applicants must have a 500 or greater MCAT score and non-Arkansas residents a 505 or greater to be invited to submit a secondary application and be invited for a faculty interview.,"Most interviews are in- person, but we also offer a virtual interview day for applicants who cannot interview in person.",Most interviews are conducted on the UAMS Little Rock campus. Some interviews are conducted at the Northwest UAMS campus in Fayetteville.,"Most interviews are in-person, but we also offer a virtual interview day for applicants who cannot interview in- person.",
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,5,8,477.163,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),"Two virtual, traditional interviews held the same day.",July 2026,"Interview agendas will be provided when candidates confirm their interview date. The day will include an orientation, interviews, meetings, and presentations about the program, dean ’ s welcome, faculty panel, and offered support services.",All interviews are virtual via Zoom,All interviews are conducted virtually via video.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,6,8,354.163,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,First round of admissions interview: video-recorded response. Second round admissions interviews: virtual MMI format.,July 2026,"Interview day agendas are made available to applicants at the time that they are offered an interview invitation. The interview day consists of a welcome and virtual tour, the MMI interview, a presentation on the educational offerings, and meet and greet opportunities with Medical Students.",,First round of admissions interview: video- recorded response. Second round admissions interviews: virtual MMI format.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,7,8,266.154,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,"The Multiple Mini-Interview (MMI), a series of 5- stations lasting 7-minutes each, are administered by the College. MMIs provide additional information to the admissions committee regarding the applicants' qualifications.",mid-to-late July,More information regarding the interview day can be found at https://phoenixmed.arizona .edu/mmi,Unavailable.,Unavailable.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,8,8,161.154,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,Holistic/Traditional/Dialogu e,August 2026,https://medicine.cnsu.edu/ admissions/interview.php,no,"Yes, but to be determined. Currently CNUCOM is using a virtual format for interviews however any updates to this will be announced prior to the start of interviews in September 2026.",
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,9,10,519.163,CA,California University of Science and Medicine- School of Medicine,California University of Science and Medicine- School of Medicine,The Video Assessment/Interview process which will consist of a multiple reviewer format versus a one-on- one interview.,Early August,"Students are offered an Video Assessment/Interview based on a holistic review of their entire application, which includes the Secondary Application sent to select applicants. Additionally, applicants can participate in the virtual Q&A session with faculty to review the CUSM curriculum and research opportunities at CUSM and be invited to participate in a Q&A with student ambassadors.",no,"Yes, the Video Assessment/Intervie w is online. Admitted students have the opportunity to attend one of two scheduled ""Visit in Person (VIP)"" events.",
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,10,10,414.163,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,Virtual interviews with faculty,September 2026,"Based on a thorough and comparative evaluation of the AMCAS application, supplemental information, and letters of recommendation, the candidate receives a request for virtual interview sessions with CDU faculty. It will consist of two virtual interviews",Regional interviews are not available.,Yes,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,11,10,273.163,CA,Kaiser Permanente Bernard J. Tyson School of Medicine,Kaiser Permanente Bernard J. Tyson School of Medicine,"We will utilize a hybrid model, consisting of Multiple Mini Interviews and a traditional interview.",July 2026,"We believe that the interview day is a critical part of our assessment and selection process, as it gives us an opportunity to get to know you better. It also provides you a better sense of who we are and allows you an opportunity to get your questions answered. We will utilize a hybrid model, consisting of the Multiple Mini Interview and a traditional interview.",no,Interviews will be virtual for the 2026 - 2027 cycle.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,12,10,176.154,CA,Keck School of Medicine of the University of Southern California,Keck School of Medicine of the University of Southern California,"All applicants selected for a virtual interview will participate in a welcome session, an interview with a faculty member, and an interview with a current student on the same day. Questions and answers sessions will also be provided to interviewees.",July,Provided to applicants upon being invited to interview.,Regional interviews are not available.,"Live, virtual interviews will be conducted.",
