source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,committee_letter_preference_status,letter_packet_preference_status,individual_letters_preference_status,notes
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,1,4,661.062,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,2,4,639.462,AR,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,3,4,617.862,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,4,4,596.262,AZ,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,5,4,574.662,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,6,4,553.062,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,7,4,531.462,CA,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,8,4,509.862,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,9,4,488.262,CA,California University of Science and Medicine-School of Medicine,California University of Science and Medicine-School of Medicine,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
aamc_msar_lor_preferences,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/09_msar011-msar-letter-of-evaluation-preferences.pdf,10,4,466.662,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,,,,Preference symbols are not plain text in this PDF; this CSV preserves the official school index and flags symbol fields for follow-up decoding.
