source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,mission_statement,notes
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,1,4,644.155,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,"“ Our mission is to provide innovative research, education, and clinical care in a culture of excellence, discovery, and scholarship to the next generation of physicians, scientists, and educators to advance patient-centered and equitable healthcare. ”",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,2,4,466.147,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,"UAB Heersink Mission and Vision Statements Mission To advance health and healing through patient care, education, and discovery. Vision To be a leader in making a global impact through innovative care, transformative discovery, and collaborative teaching and learning. Admissions Statement The UAB Heersink School of Medicine selects applicants poised to become exceptional clinicians, physician-scientists, and medical educators. We seek academically qualified candidates from all backgrounds and experiences who exhibit strong competence in one or more of the following: dedication to serving others, cultural sensitivity, communication skills, teamwork, and leadership. Our holistic admissions process values applicants with a demonstrated interest in serving underserved rural and urban communities, addressing medical disparities, advancing research and innovation, and/or practicing primary care medicine. We are committed to recruiting and training applicants from Alabama, students with close ties to Alabama, and/or students who demonstrate a passion for the mission of the UAB Heersink School of Medicine.",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,3,4,297.139,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,"Mission Alice L. Walton School of Medicine trains physicians who are devoted to transforming the health of medically underserved and rural communities in Arkansas, its surrounding states, and beyond. AWSOM physicians make a difference by pioneering whole health principles, deploying contemporary technologies, and developing novel partnerships to bridge the gaps to high quality medical care and to promote health and well-being for all individuals and communities. Vision Equip and support physicians and health professionals to successfully tackle the healthcare challenges of the 21 st century. Values -Empathy -Self-Care -Humanism -Entrepreneurialism -Community Focus",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,4,4,182.130,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,"To improve health and increase knowledge through innovative teaching, ground-breaking research, state-of-the-art patient care and outstanding service to Arkansas, our nation and the world. The UAMS College of Medicine leads the way in educating exemplary physicians and translating biomedical discovery into innovative treatments that enable our health care teams to deliver superior medical care. The mission is to improve the health, health care and well-being of Arkansans, others in the region, the nation and other countries in the world by educating current and future health professionals and the public. By providing high quality, innovative patent- and family-centered health care as well as specialty expertise not routinely available in smaller community settings. Core values include commitment to diversity and health equity supported by diversity of UAMS leadership, faculty, staff, and learners to reduce health care disparities in our state, and honor the unique contributions provided by a diversity of values, beliefs, and cultures.",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,5,4,103.122,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),"Our mission is to cultivate physicians who can integrate their medical expertise with leading-edge engineering skills in a humanistic framework and develop innovative solutions to health care challenges. Our faculty will advance clinical practice and knowledge through education and translational research to deliver a groundbreaking medical education experience that fosters uncompromised excellence in patient care, biomedical discovery, engineering solutions, and an entrepreneurial mindset. Graduates will be equipped to identify, envision, and implement creative answers to the evolving obstacles in health care for their individual patients, communities, and beyond.",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,6,4,60.114,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,"The College of Medicine - Tucson trains future physicians to provide high-quality and compassionate care, develops scientists focused on exciting discoveries, and nurtures undergraduate and graduate students interested the many professions in health care and the health sciences.",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,7,8,626.155,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,"The University of Arizona College of Medicine - Phoenix inspires and trains exemplary physicians, scientists and leaders to optimize health and health care in Arizona and beyond. We are uniquely positioned to accelerate the biomedical and economic engines in Phoenix and the State by leveraging our vital relationships with key clinical and community partners.",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,8,8,601.147,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,"To advance the science and art of healthcare through education, service, research, personal wellness, and social accountability.",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,9,8,567.139,CA,California University of Science and Medicine-School of Medicine,California University of Science and Medicine-School of Medicine,"To advance the art and science of medicine through innovative medical education, research, and compassionate healthcare delivery in an inclusive environment that advocates critical thinking, creativity, integrity, and professionalism.",
aamc_msar_mission_statement,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/02_msar007-msar-mission-statement.pdf,10,8,506.130,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,"• The mission of the College of Medicine is to provide education, research and clinical service in the context of community engagement in order to train physician leaders who promote wellness, who provide care with excellence and compassion, and who are committed to transforming the health of diverse and underserved communities. • Vision Statement: Excellent health and wellness for all in a world without health disparities.",
