source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,course,course_class,required_or_recommended,additional_info,credit_hours,lab,pass_fail,ap_credit,online_course,community_college,notes
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,1,4,454.661,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Anthropology,BESS,Required,Anthropology or any of the Behavioral and Social Sciences courses will be accepted. Applicants should have 3 semester hours in the Social Sciences and 3 semester hours in the Behavioral Sciences.,6,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,2,4,337.661,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Biochemistry,CHEM,Recommended,Biochemistry may take the place of Organic Chemistry II.,,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,3,34,485.942,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Biology,BIOL,Required,,8,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,4,34,310.221,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Chemistry,CHEM,Required,General Chemistry,8,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,5,56,481.661,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Composition & Rhetoric,ENGL,Required,English Literature may be used in place of a portion or all of English Composition.,6,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,6,56,364.661,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Literature,ENGL,Required,English Composition may be used in place of a portion or all of English Literature.,6,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,7,56,251.940,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Mathematics,MATH,Required,Calculus is preferred.,6,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,8,56,139.220,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Physics,PHYS,Required,,8,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,9,98,328.941,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Statistics,MATH,Recommended,,,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
aamc_msar_premed_course_requirements,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/12_msar002-msar-premed-course-requirements.pdf,10,98,216.221,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Biochemistry,CHEM,Required,,3,,,,,,Lab and other checkbox-style fields may be symbol-rendered in the PDF and should be reviewed before use.
