source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,preview_policy,notes
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,1,3,694.660,,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,PREview Policy | We are requiring applicants to submit PREview scores | We are not using PREview scores in the admissions process,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,2,3,679.420,,Albany Medical College,Albany Medical College,We are requiring applicants to submit PREview scores | We are not using PREview scores in the admissions process,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,3,3,652.060,,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,We are not using PREview scores in the admissions process,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,4,5,624.700,,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,process | We are not using PREview scores in the admissions process,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,5,5,609.460,,Wake Forest University School of Medicine,Wake Forest University School of Medicine,We are not using PREview scores in the admissions process | Exploring PREview for Future use - will not be used in this cycle’s admissions decisions,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,6,5,582.100,,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,We are not using PREview scores in the admissions process | Exploring PREview for Future use - will not be used in this cycle’s admissions decisions | We are not using PREview scores in the admissions,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,7,5,554.710,,"University of California, San Francisco, School of Medicine","University of California, San Francisco, School of Medicine",Exploring PREview for Future use - will not be used in this cycle’s admissions decisions | We are not using PREview scores in the admissions,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,8,6,527.350,,"University of California, Los Angeles David Geffen School of Medicine","University of California, Los Angeles David Geffen School of Medicine",We are requiring applicants to submit PREview scores | We are recommending applicants submit PREview scores,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,9,6,499.990,,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Medical School at Rosalind Franklin University of Medicine & Science,We are requiring applicants to submit PREview scores | We are recommending applicants submit PREview scores | We are not using PREview scores in the admissions process,
aamc_msar_preview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/13_msar-preview-participation-06-09-25-04152026-sc.pdf,10,6,458.830,,University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,We are recommending applicants submit PREview scores | We are not using PREview scores in the admissions process | Exploring PREview for Future use - will not be used in,
