source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,secondary_application_fee,secondary_application_sent_to,secondary_application_deadline,notes
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,1,4,639.704,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,$75,US Citizens and Permanent Residents with an MCAT score of 495 or higher.,"December 1, 2026",
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,2,4,549.455,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,$100,Minimum requirements to be considered for a secondary application can be found on our website here: https://www.uab.edu/medi cine/home/admissions/sele ction-criteria,"We recommend applicants submit within two weeks of receiving a secondary invitation or by November 15, at the latest.",
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,3,4,523.143,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,$100,Applicants who meet our minimum requirements,"December 1, 2026",
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,4,4,464.863,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,$100,The link to our secondary application is sent to medical school applicants who meet the admissions standards,"November 15, 2026",
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,5,4,427.894,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),,Applicant's e-mail address from the AMCAS application,"December 15, 2026",
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,6,4,409.174,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,$95,AMCAS,December 2027,
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,7,4,308.270,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,$95,"Applicants with US Citizenship or Permanent Resident status who have a cumulative and science GPA of 3.6 and MCAT test score of at least 506 recorded between January 2023 and September 12, 2026.","No later than 30 days from the date of the invite or December 1, 2026, whichever date is soonest.",
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,8,4,260.646,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,$100,Qualified & provisionally qualified applicants (i.e. candidates) will be invited to complete secondary.,1/22/2027,
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,9,4,237.646,CA,California University of Science and Medicine- School of Medicine,California University of Science and Medicine- School of Medicine,$100,Selected applicants,"December 30, 2026",
aamc_msar_secondary_application,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/07_msar006-msar-secondary-application.pdf,10,4,190.021,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,,Screened applicants after a preliminary review not all applicants receive a secondary,"December 01, 2026",
