source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,transfer_contact_name,transfer_phone_number,transfer_email_address,transfer_website,unmapped_label_value_text,notes
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,1,4,633.421,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Deborah Fetherland | 2514607176,2514607176,fetherland@southalabama.edu,https://www.southalabama.edu/colleges/com/futurestudents/,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,2,4,573.180,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,UAB Heersink Admissions | 2059342433,2059342433,medschool@uab.edu,https://www.uab.edu/medicine/home/admissions/application- process/advanced-standing-transfer,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,3,4,547.940,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,,,,,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,4,4,496.699,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,"Tom South, Assistant Dean of Medical Student Admissions | 5016865354",5016865354,SouthTomG@uams.edu,http://www.medicine.uams.edu,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,5,4,471.458,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),,,,,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,6,4,411.218,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,UA College of Medicine - Tucson Admissions | 5206266214,5206266214,admissions@medicine.arizona.edu,https://medicine.arizona.edu/education/degree-programs/md- program,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,7,4,385.977,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,,,,,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,8,4,360.737,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,,,,,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,9,4,335.497,CA,California University of Science and Medicine- School of Medicine,California University of Science and Medicine- School of Medicine,,,,,,
aamc_msar_transfer_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/08_msar013-msar-application-transfer-policies.pdf,10,4,310.256,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,,,,,,
