source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,in_state_total_cost_of_attendance_raw,in_state_total_cost_of_attendance,in_state_tuition_fees_raw,in_state_tuition_fees,in_state_health_insurance_raw,in_state_health_insurance,out_state_total_cost_of_attendance_raw,out_state_total_cost_of_attendance,out_state_tuition_fees_raw,out_state_tuition_fees,out_state_health_insurance_raw,out_state_health_insurance,in_state_tuition_fees_insurance,out_state_tuition_fees_insurance,report_year,academic_year,notes
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,1,4,463.622,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,"$69,123",69123,"$36,198",36198,"$3,457",3457,"$104,356",104356,"$71,431",71431,"$3,457",3457,39655,74888,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,2,4,440.582,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,"$74,582",74582,"$37,282",37282,"$3,562",3562,"$105,891",105891,"$67,786",67786,"$3,562",3562,40844,71348,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,3,4,417.542,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,"$36,246",36246,$125,125,"$2,265",2265,"$36,246",36246,$125,125,"$2,265",2265,2390,2390,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,4,4,394.502,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,"$72,446",72446,"$38,550",38550,"$3,612",3612,"$106,510",106510,"$72,614",72614,"$3,612",3612,42162,76226,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,5,4,371.462,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,0,0,2027,2024-2025,all reported cost fields are zero
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,6,4,348.422,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,"$78,490",78490,"$40,990",40990,"$2,800",2800,"$98,143",98143,"$60,643",60643,"$2,800",2800,43790,63443,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,7,4,325.382,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,"$84,651",84651,"$41,361",41361,"$2,770",2770,"$103,982",103982,"$60,692",60692,"$2,770",2770,44131,63462,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,8,4,302.342,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,"$113,663",113663,"$78,372",78372,"$3,529",3529,"$113,663",113663,"$78,372",78372,"$3,529",3529,81901,81901,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,9,4,279.302,CA,California University of Science and Medicine-School of Medicine,California University of Science and Medicine-School of Medicine,"$115,072",115072,"$74,500",74500,"$5,482",5482,"$115,072",115072,"$74,500",74500,"$5,482",5482,79982,79982,2027,2024-2025,
aamc_msar_tuition_fees_insurance,"AAMC MSAR Tuition, Fees and Insurance Information",https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,10,4,256.262,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,"$137,117",137117,"$71,616",71616,"$5,066",5066,"$137,117",137117,"$71,616",71616,"$5,066",5066,76682,76682,2027,2024-2025,
