aamc_source_row_number,aamc_school_name,aamc_state,master_school_id,master_school_name,master_state_abbrev,master_degree_type,match_score,match_label,second_match_score,second_master_school_id,second_master_school_name,in_state_tuition_fees,out_state_tuition_fees,in_state_health_insurance,out_state_health_insurance,in_state_tuition_fees_insurance,out_state_tuition_fees_insurance,estimated_coa_in_state,estimated_coa_out_state,tuition_source_url,pdf_file,notes
1,Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,md_frederick_p_whiddon_college_of_medicine_at_the_university_of_south_alabama_mobil,Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,MD,1.000,exact,0.231,md_university_of_alabama_at_birmingham_marnix_e_heersink_school_of_medicine_birming,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,36198,71431,3457,3457,39655,74888,69123,104356,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
2,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,md_university_of_alabama_at_birmingham_marnix_e_heersink_school_of_medicine_birming,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,MD,1.000,exact,0.231,md_frederick_p_whiddon_college_of_medicine_at_the_university_of_south_alabama_mobil,Frederick P. Whiddon College of Medicine at the University of South Alabama,37282,67786,3562,3562,40844,71348,74582,105891,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
3,Alice L. Walton School of Medicine,AR,md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,AR,MD,1.000,exact,0.139,md_university_of_arkansas_for_medical_sciences_college_of_medicine_little_rock_arka,University of Arkansas for Medical Sciences College of Medicine,125,125,2265,2265,2390,2390,36246,36246,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
4,University of Arkansas for Medical Sciences College of Medicine,AR,md_university_of_arkansas_for_medical_sciences_college_of_medicine_little_rock_arka,University of Arkansas for Medical Sciences College of Medicine,AR,MD,1.000,exact,0.160,md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,38550,72614,3612,3612,42162,76226,72446,106510,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
5,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),AZ,md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,Arizona State University John Shufeldt School of Medicine and Medical Engineering,AZ,MD,0.678,no_match,0.347,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,0,0,0,0,0,0,0,0,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,all reported cost fields are zero; no reliable master match
6,University of Arizona College of Medicine,AZ,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,AZ,MD,0.940,high_confidence,0.940,md_university_of_arizona_college_of_medicine_phoenix_phoenix_arizona,University of Arizona College of Medicine - Phoenix,40990,60643,2800,2800,43790,63443,78490,98143,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
7,University of Arizona College of Medicine - Phoenix,AZ,md_university_of_arizona_college_of_medicine_phoenix_phoenix_arizona,University of Arizona College of Medicine - Phoenix,AZ,MD,1.000,exact,0.870,md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,Arizona State University John Shufeldt School of Medicine and Medical Engineering,41361,60692,2770,2770,44131,63462,84651,103982,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
8,California Northstate University College of Medicine,CA,md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,CA,MD,1.000,exact,0.552,md_university_of_california_riverside_school_of_medicine_riverside_california,"University of California, Riverside School of Medicine",78372,78372,3529,3529,81901,81901,113663,113663,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
9,California University of Science and Medicine-School of Medicine,CA,md_california_university_of_science_and_medicine_school_of_medicine_colton_californ,California University of Science and Medicine - School of Medicine,CA,MD,1.000,exact,0.577,md_university_of_california_irvine_school_of_medicine_irvine_california,"University of California, Irvine School of Medicine",74500,74500,5482,5482,79982,79982,115072,115072,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
10,Charles R. Drew University of Medicine and Science College of Medicine,CA,md_charles_r_drew_university_of_medicine_and_science_college_of_medicine_los_angele,Charles R. Drew University of Medicine and Science College of Medicine,CA,MD,1.000,exact,0.443,md_california_university_of_science_and_medicine_school_of_medicine_colton_californ,California University of Science and Medicine - School of Medicine,71616,71616,5066,5066,76682,76682,137117,137117,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/19_msar015-msar-tuition-fees-and-insurance-information.pdf,
