school_id,school_name,state_abbrev,in_state_tuition_fees_insurance,out_state_tuition_fees_insurance,estimated_coa_in_state,estimated_coa_out_state,tuition_source_url,tuition_source_name,aamc_source_row_number,aamc_school_name,match_score,match_label,notes
md_frederick_p_whiddon_college_of_medicine_at_the_university_of_south_alabama_mobil,Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,39655,74888,69123,104356,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",1,Frederick P. Whiddon College of Medicine at the University of South Alabama,1.000,exact,
md_university_of_alabama_at_birmingham_marnix_e_heersink_school_of_medicine_birming,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,40844,71348,74582,105891,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",2,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,1.000,exact,
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,AR,2390,2390,36246,36246,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",3,Alice L. Walton School of Medicine,1.000,exact,
md_university_of_arkansas_for_medical_sciences_college_of_medicine_little_rock_arka,University of Arkansas for Medical Sciences College of Medicine,AR,42162,76226,72446,106510,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",4,University of Arkansas for Medical Sciences College of Medicine,1.000,exact,
md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,AZ,43790,63443,78490,98143,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",6,University of Arizona College of Medicine,0.940,high_confidence,
md_university_of_arizona_college_of_medicine_phoenix_phoenix_arizona,University of Arizona College of Medicine - Phoenix,AZ,44131,63462,84651,103982,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",7,University of Arizona College of Medicine - Phoenix,1.000,exact,
md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,CA,81901,81901,113663,113663,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",8,California Northstate University College of Medicine,1.000,exact,
md_california_university_of_science_and_medicine_school_of_medicine_colton_californ,California University of Science and Medicine - School of Medicine,CA,79982,79982,115072,115072,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",9,California University of Science and Medicine-School of Medicine,1.000,exact,
md_charles_r_drew_university_of_medicine_and_science_college_of_medicine_los_angele,Charles R. Drew University of Medicine and Science College of Medicine,CA,76682,76682,137117,137117,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",10,Charles R. Drew University of Medicine and Science College of Medicine,1.000,exact,
md_kaiser_permanente_bernard_j_tyson_school_of_medicine_pasadena_california,Kaiser Permanente Bernard J. Tyson School of Medicine,CA,0,0,39636,39636,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",11,Kaiser Permanente Bernard J. Tyson School of Medicine,1.000,exact,
md_keck_school_of_medicine_of_the_university_of_southern_california_los_angeles_cal,Keck School of Medicine of the University of Southern California,CA,79713,79713,114717,114717,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",12,Keck School of Medicine of the University of Southern California,1.000,exact,
md_loma_linda_university_school_of_medicine_loma_linda_california,Loma Linda University School of Medicine,CA,71832,71832,108520,108520,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",13,Loma Linda University School of Medicine,1.000,exact,
md_stanford_university_school_of_medicine_palo_alto_california,Stanford University School of Medicine,CA,79147,79147,121282,121282,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",14,Stanford University School of Medicine,1.000,exact,
md_university_of_california_davis_school_of_medicine_davis_california,"University of California, Davis School of Medicine",CA,56275,68520,87708,99953,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",15,"University of California, Davis, School of Medicine",1.000,exact,
md_university_of_california_irvine_school_of_medicine_irvine_california,"University of California, Irvine School of Medicine",CA,50778,63023,78212,90457,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",16,"University of California, Irvine, School of Medicine",1.000,exact,
md_david_geffen_school_of_medicine_at_ucla_los_angeles_california,David Geffen School of Medicine at UCLA,CA,52763,65008,97916,110161,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",17,"University of California, Los Angeles David Geffen School of Medicine",1.000,high_confidence,
md_university_of_california_riverside_school_of_medicine_riverside_california,"University of California, Riverside School of Medicine",CA,47876,60121,97557,109802,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",18,"University of California, Riverside School of Medicine",1.000,exact,
md_university_of_california_san_diego_school_of_medicine_san_diego_california,"University of California, San Diego School of Medicine",CA,51776,64021,75043,87288,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",19,"University of California, San Diego School of Medicine",1.000,exact,
md_university_of_california_san_francisco_school_of_medicine_san_francisco_californ,"University of California, San Francisco School of Medicine",CA,53441,65686,89616,101861,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",20,"University of California, San Francisco, School of Medicine",1.000,exact,
md_university_of_colorado_school_of_medicine_denver_colorado,University of Colorado School of Medicine,CO,52056,78011,88131,114086,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",21,University of Colorado School of Medicine,1.000,exact,
md_frank_h_netter_md_school_of_medicine_at_quinnipiac_university_north_haven_connec,Frank H. Netter MD School of Medicine at Quinnipiac University,CT,70599,70599,101334,101334,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",22,Frank H. Netter MD School of Medicine at Quinnipiac University,1.000,exact,
md_university_of_connecticut_school_of_medicine_farmington_connecticut,University of Connecticut School of Medicine,CT,52922,81107,98525,126710,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",23,University of Connecticut School of Medicine,1.000,exact,
md_yale_school_of_medicine_new_haven_connecticut,Yale School of Medicine,CT,79346,79346,115691,115691,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,"AAMC MSAR Tuition, Fees and Insurance Information",24,Yale School of Medicine,1.000,exact,
