source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,number_on_waitlist,number_accepted_from_waitlist,waitlist_procedures,notes
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,1,4,640.564,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,Approximately 40,20,The waitlist is a ranked list and students are accepted in the order they were ranked by the Admissions Committee.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,2,4,600.964,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,50-75,0,"In early April, a two-tier waitlist is created and applicants are notified of their tier placement. # of waitlist offers over the last 3 years: 2023 = 14; 2024 = 17; 2025 = 0",
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,3,4,561.364,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,The number of waitlist positions varies each application cycle.,,Waitlist procedures and information are provided to applicants placed on the waitlist.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,4,4,517.363,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,80 - 100,79,Applicants not accepted for admission in February may be placed on an Alternate List and are admitted as positions become available -- until the day of registration. at the end of Orientation week.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,5,4,477.763,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Not Available,,Offers of admissions from the waitlist will begin in May as seats become available.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,6,4,438.163,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,"Varies, 35-50 typically",25,Notification via email and phone call with 1-5 day maximum to accept or decline offer.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,7,4,398.563,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,Fluctuates from year to year.,,The waitlist is unranked.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,8,4,358.963,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,Approximately 40,10,Acceptance is offered on a rolling basis; thus re-ranking of the waitlist occurs frequently.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,9,4,319.363,CA,California University of Science and Medicine- School of Medicine,California University of Science and Medicine- School of Medicine,N/A,,All applicants placed on the wait list will be informed by a letter from the Office of Admissions via U.S. mail within 2 weeks of the committee ’ s decision.,
aamc_msar_waitlist_procedures,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/16_msar009-msar-waitlist-procedures-1.pdf,10,4,279.763,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,90,10,We will call and email the next person in line by rank if a position is open,
