source_key,source_name,source_url,value_url,source_row_number,school_name_raw,school_name_clean,metric_context,gpa,mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.uab.edu/medicine/home/future-students/admissions,3,University of Alabama School of Medicine,University of Alabama School of Medicine,published school average GPA and MCAT,3.86,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.usahealthsystem.com/doctor-of-medicine,4,University of South Alabama College of Medicine,University of South Alabama College of Medicine,published school average GPA and MCAT,3.91,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.arizona.edu/admissions,6,University of Arizona College of Medicine - Tucson,University of Arizona College of Medicine - Tucson,published school average GPA and MCAT,3.79,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://phoenixmed.arizona.edu/admissions,7,University of Arizona College of Medicine-Phoenix,University of Arizona College of Medicine-Phoenix,published school average GPA and MCAT,3.81,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.uams.edu/for-medical-school-applicants/,9,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,published school average GPA and MCAT,3.85,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.cnsu.edu/students-com/admissions,11,California Northstate University College of Medicine,California Northstate University College of Medicine,published school average GPA and MCAT,3.72,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.cdrewu.edu/com/CDU_UCLAMedicalStudentProgram/UndergraduateMedicalEducationPrograms,12,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,published school average GPA and MCAT,3,498,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.llu.edu/admissions,13,Loma Linda University School of Medicine,Loma Linda University School of Medicine,published school average GPA and MCAT,3.86,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.ucdmc.ucdavis.edu/mdprogram/admissions/index.html,14,University of California - Davis School of Medicine,University of California - Davis School of Medicine,published school average GPA and MCAT,3.69,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.stanford.edu/md-admissions.html,15,Stanford University School of Medicine,Stanford University School of Medicine,published school average GPA and MCAT,3.89,519,
