source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,3,University of Alabama School of Medicine,University of Alabama School of Medicine,http://www.uab.edu/medicine/home/future-students/admissions,Alabama,,3.86,3.86,MCAT Minimum - 495 MCAT Average - 510,510,MCAT Minimum - 495 MCAT Average - 510,495,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,4,University of South Alabama College of Medicine,University of South Alabama College of Medicine,http://www.usahealthsystem.com/doctor-of-medicine,Alabama,,3.91,3.91,MCAT Minimum - 500 (instate) and 509 (out of state) MCAT Average - 511,511,MCAT Minimum - 500 (instate) and 509 (out of state) MCAT Average - 511,500,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,6,University of Arizona College of Medicine - Tucson,University of Arizona College of Medicine - Tucson,http://medicine.arizona.edu/admissions,Arizona,,3.79,3.79,MCAT Minimum - 498 MCAT Average - 510,510,MCAT Minimum - 498 MCAT Average - 510,498,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,7,University of Arizona College of Medicine-Phoenix,University of Arizona College of Medicine-Phoenix,http://phoenixmed.arizona.edu/admissions,Arizona,,3.81,3.81,MCAT - 515,515,MCAT - 515,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,9,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,http://medicine.uams.edu/for-medical-school-applicants/,Arkansas,,3.85,3.85,MCAT - 508,508,MCAT - 508,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,11,California Northstate University College of Medicine,California Northstate University College of Medicine,http://medicine.cnsu.edu/students-com/admissions,California,,3.72,3.72,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,12,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,http://www.cdrewu.edu/com/CDU_UCLAMedicalStudentProgram/UndergraduateMedicalEducationPrograms,California,,3,3,MCAT - 498,498,MCAT - 498,498,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,13,Loma Linda University School of Medicine,Loma Linda University School of Medicine,http://medicine.llu.edu/admissions,California,,3.86,3.86,MCAT - 510,510,MCAT - 510,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,14,University of California - Davis School of Medicine,University of California - Davis School of Medicine,http://www.ucdmc.ucdavis.edu/mdprogram/admissions/index.html,California,,3.69,3.69,MCAT - 512,512,MCAT - 512,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,15,Stanford University School of Medicine,Stanford University School of Medicine,http://med.stanford.edu/md-admissions.html,California,,3.89,3.89,MCAT - 519,519,MCAT - 519,519,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,16,University of California - Irvine School of Medicine,University of California - Irvine School of Medicine,http://www.meded.uci.edu/admissions/index.asp,California,,3.85,3.85,MCAT - 516,516,MCAT - 516,516,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,17,University of California-Los Angeles David Geffen School of Medicine,University of California-Los Angeles David Geffen School of Medicine,http://medschool.ucla.edu/apply-admissions,California,,3.84,3.84,MCAT - 516,516,MCAT - 516,516,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,18,University of California - Riverside School of Medicine,University of California - Riverside School of Medicine,http://medschool.ucr.edu/admissions/,California,,3.59,3.59,MCAT - 508,508,MCAT - 508,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,19,University of California - San Diego School of Medicine,University of California - San Diego School of Medicine,http://meded.ucsd.edu/asa/admissions/,California,,3.83,3.83,MCAT - 517,517,MCAT - 517,517,
