source_key,source_name,source_url,explorer_slug,explorer_url,school_name_raw,school_name_clean,school_type,state,country,program_type,outcome,metric_context,total_tracked,percent_applicants_interviewed,percent_applicants_interviewed_n,percent_accepted_post_interview,percent_accepted_post_interview_n,percent_accepted_from_waitlist,percent_accepted_from_waitlist_n,median_cgpa_raw,median_cgpa,cgpa_min,cgpa_max,cgpa_n,median_sgpa_raw,median_sgpa,sgpa_min,sgpa_max,sgpa_n,median_mcat_raw,median_mcat,mcat_min,mcat_max,mcat_n,notes
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Arizona,https://cycletrack.org/explorer/school/A.T. Still - Arizona,A.T. Still University of Health Sciences (Arizona),A.T. Still University of Health Sciences (Arizona),DO,AZ,USA,DO,interviews,CycleTrack crowdsourced DO interviews median stats,187,52.48,282,,,,,"3.69 (3.00 - 4.00), (n=155)",3.69,3,4,155,"3.59 (2.90 - 4.00), (n=147)",3.59,2.9,4,147,"507.00 (497.00 - 522.00), (n=165)",507,497,522,165,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Arizona,https://cycletrack.org/explorer/school/A.T. Still - Arizona,A.T. Still University of Health Sciences (Arizona),A.T. Still University of Health Sciences (Arizona),DO,AZ,USA,DO,acceptances,CycleTrack crowdsourced DO acceptances median stats,73,,,35.83,187,41.67,12,"3.69 (3.20 - 4.00), (n=64)",3.69,3.2,4,64,"3.59 (2.93 - 4.00), (n=61)",3.59,2.93,4,61,"507.00 (497.00 - 519.00), (n=67)",507,497,519,67,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Arizona,https://cycletrack.org/explorer/school/A.T. Still - Arizona,A.T. Still University of Health Sciences (Arizona),A.T. Still University of Health Sciences (Arizona),DO,AZ,USA,DO-PhD,interviews,CycleTrack crowdsourced DO-PhD interviews median stats,1,,,,,,,X.XX,,,,,X.XX,,,,,XXX.X,,,,,cGPA suppressed by CycleTrack for small n; sGPA suppressed by CycleTrack for small n; MCAT suppressed by CycleTrack for small n
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Arizona,https://cycletrack.org/explorer/school/A.T. Still - Arizona,A.T. Still University of Health Sciences (Arizona),A.T. Still University of Health Sciences (Arizona),DO,AZ,USA,DO-PhD,acceptances,CycleTrack crowdsourced DO-PhD acceptances median stats,0,,,,,,,X.XX,,,,,X.XX,,,,,XXX.X,,,,,cGPA suppressed by CycleTrack for small n; sGPA suppressed by CycleTrack for small n; MCAT suppressed by CycleTrack for small n
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Kirksville,https://cycletrack.org/explorer/school/A.T. Still - Kirksville,A.T. Still University of Health Sciences (Kirksville),A.T. Still University of Health Sciences (Kirksville),DO,MO,USA,DO,interviews,CycleTrack crowdsourced DO interviews median stats,127,54.79,188,,,,,"3.77 (2.90 - 4.00), (n=105)",3.77,2.9,4,105,"3.66 (2.90 - 4.00), (n=96)",3.66,2.9,4,96,"506.00 (498.00 - 520.00), (n=110)",506,498,520,110,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Kirksville,https://cycletrack.org/explorer/school/A.T. Still - Kirksville,A.T. Still University of Health Sciences (Kirksville),A.T. Still University of Health Sciences (Kirksville),DO,MO,USA,DO,acceptances,CycleTrack crowdsourced DO acceptances median stats,41,,,27.56,127,,,"3.77 (3.38 - 4.00), (n=38)",3.77,3.38,4,38,"3.62 (3.27 - 4.00), (n=34)",3.62,3.27,4,34,"505.00 (498.00 - 514.00), (n=40)",505,498,514,40,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Kirksville,https://cycletrack.org/explorer/school/A.T. Still - Kirksville,A.T. Still University of Health Sciences (Kirksville),A.T. Still University of Health Sciences (Kirksville),DO,MO,USA,DO-PhD,interviews,CycleTrack crowdsourced DO-PhD interviews median stats,0,,,,,,,X.XX,,,,,X.XX,,,,,XXX.X,,,,,cGPA suppressed by CycleTrack for small n; sGPA suppressed by CycleTrack for small n; MCAT suppressed by CycleTrack for small n
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,A.T. Still - Kirksville,https://cycletrack.org/explorer/school/A.T. Still - Kirksville,A.T. Still University of Health Sciences (Kirksville),A.T. Still University of Health Sciences (Kirksville),DO,MO,USA,DO-PhD,acceptances,CycleTrack crowdsourced DO-PhD acceptances median stats,1,,,,,,,X.XX,,,,,X.XX,,,,,XXX.X,,,,,cGPA suppressed by CycleTrack for small n; sGPA suppressed by CycleTrack for small n; MCAT suppressed by CycleTrack for small n
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,Alabama,https://cycletrack.org/explorer/school/Alabama,University of Alabama at Birmingham,University of Alabama at Birmingham,MD,AL,USA,MD,interviews,CycleTrack crowdsourced MD interviews median stats,91,27.59,290,,,,,"3.90 (3.22 - 4.00), (n=76)",3.9,3.22,4,76,"3.89 (3.15 - 4.00), (n=67)",3.89,3.15,4,67,"513.00 (500.00 - 526.00), (n=77)",513,500,526,77,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,Alabama,https://cycletrack.org/explorer/school/Alabama,University of Alabama at Birmingham,University of Alabama at Birmingham,MD,AL,USA,MD,acceptances,CycleTrack crowdsourced MD acceptances median stats,47,,,48.35,91,11.11,9,"3.91 (3.38 - 4.00), (n=39)",3.91,3.38,4,39,"3.90 (3.33 - 4.00), (n=36)",3.9,3.33,4,36,"513.00 (500.00 - 524.00), (n=40)",513,500,524,40,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,Alabama,https://cycletrack.org/explorer/school/Alabama,University of Alabama at Birmingham,University of Alabama at Birmingham,MD,AL,USA,MD-PhD,interviews,CycleTrack crowdsourced MD-PhD interviews median stats,64,54.46,101,,,,,"3.90 (3.40 - 4.00), (n=56)",3.9,3.4,4,56,"3.87 (3.11 - 4.00), (n=51)",3.87,3.11,4,51,"516.00 (500.00 - 528.00), (n=57)",516,500,528,57,
