source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,2,Albany Medical College,Albany Medical College,,,,3.77,3.77,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,3,Boston University Sch of Med,Boston University Sch of Med,,,,3.76,3.76,517,517,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,4,Brown University The Warren Alpert Medical School,Brown University The Warren Alpert Medical School,,,,3.76,3.76,516,516,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,5,California Northstate University College of Medicine,California Northstate University College of Medicine,,,,3.83,3.83,513.4,513.4,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,6,California University of Science and Medicine,California University of Science and Medicine,,,,,,510,510,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,7,Case Western Reserve University School of Medicine,Case Western Reserve University School of Medicine,,,,3.9,3.9,517,517,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,8,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Medical School at Rosalind Franklin University of Medicine & Science,,,,3.69,3.69,508,508,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,9,Creighton University School of Medicine,Creighton University School of Medicine,,,,3.86,3.86,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,10,Dalhousie University Faculty of Medicine,Dalhousie University Faculty of Medicine,,,,3.8,3.8,505,505,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,11,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,,,,3.92,3.92,518,518,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,12,Drexel University College of Medicine,Drexel University College of Medicine,,,,3.76,3.76,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,13,East Tennessee State University James H. Quillen College of Medicine,East Tennessee State University James H. Quillen College of Medicine,,,,3.85,3.85,512.82,512.82,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,14,Eastern Virginia Medical School,Eastern Virginia Medical School,,,,3.7,3.7,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,15,Emory University School of Medicine,Emory University School of Medicine,,,,3.81,3.81,514.9,514.9,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,16,Florida Atlantic University Charles E. Schmidt College of Medicine,Florida Atlantic University Charles E. Schmidt College of Medicine,,,,3.83,3.83,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,17,Florida International University Herbert Wertheim College of Medicine,Florida International University Herbert Wertheim College of Medicine,,,,3.82,3.82,510,510,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,18,Frank H. Netter MD School of Medicine at Quinnipiac University,Frank H. Netter MD School of Medicine at Quinnipiac University,,,,3.7,3.7,511,511,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,19,Geisel School of Medicine at Dartmouth,Geisel School of Medicine at Dartmouth,,,,3.77,3.77,516,516,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,20,Geisinger Commonwealth School of Medicine,Geisinger Commonwealth School of Medicine,,,,3.81,3.81,513.06,513.06,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,21,George Washington University School of Medicine and Health Sciences,George Washington University School of Medicine and Health Sciences,,,,3.8,3.8,515,515,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,22,Georgetown University School of Medicine,Georgetown University School of Medicine,,,,3.76,3.76,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,23,Harvard Medical School,Harvard Medical School,,,,3.9,3.9,520.48,520.48,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,24,Indiana University School of Medicine,Indiana University School of Medicine,,,,3.85,3.85,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,25,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,,,,3.7,3.7,510,510,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,26,Johns Hopkins University School of Medicine,Johns Hopkins University School of Medicine,,,,3.94,3.94,520,520,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,27,Kaiser Permanente Bernard J. Tyson School of Medicine,Kaiser Permanente Bernard J. Tyson School of Medicine,,,,3.78,3.78,514,514,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,28,Keck School of Medicine of the University of Southern California,Keck School of Medicine of the University of Southern California,,,,3.85,3.85,517,517,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,29,Loma Linda University School of Medicine,Loma Linda University School of Medicine,,,,3.8,3.8,509,509,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,30,Louisiana State University School of Medicine in Shreveport,Louisiana State University School of Medicine in Shreveport,,,,3.7,3.7,507,507,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,31,Loyola University Chicago Stritch School of Medicine,Loyola University Chicago Stritch School of Medicine,,,,3.8,3.8,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,32,Marshall University Joan C. Edwards School of Medicine,Marshall University Joan C. Edwards School of Medicine,,,,3.81,3.81,506,506,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,33,"Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba","Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba",,,,4.27,4.27,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,34,Mayo Clinic Alix School of Medicine,Mayo Clinic Alix School of Medicine,,,,3.95,3.95,521,521,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,35,McGill University Faculty of Medicine,McGill University Faculty of Medicine,,,,3.8,3.8,,,,,
