school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,fetch_status,extraction_status,stats_cohort_year,metric_population,metric_type,mcat_value,mcat_metric,gpa_value,gpa_metric,science_gpa_value,evidence_text,source_publication_date,source_last_checked,data_confidence,review_status,notes
md_albany_medical_college_albany_new_york,Albany Medical College,MD,http://www.amc.edu/Academic/Undergraduate_Admissions/index.cfm,Albany Medical College,admissions_page,amc.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_albany_medical_college_albany_new_york,Albany Medical College,MD,https://www.amc.edu/academic/undergraduate/upload/Frequently-Asked-Questions.pdf,Letter requirement URL from normalized source table,pdf_report,amc.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,,,,,,,,,,,2026-06-08,,needs_review,HTTP Error 404: Not Found
md_albany_medical_college_albany_new_york,Albany Medical College,MD,https://www.amc.edu/admissions/md-program-admissions/,MD Program Admissions | Albany Medical College,annual_report,amc.edu,official_school_domain,1.00,fetched,accepted,,accepted students,official_published_mean,512,average,3.77,average,,"cientific concepts. Remember, tests taken after September of the year of application will not be accepted. Applicants to Combined Degree Programs do not need to take the MCAT. The average MCAT score among students in our most recent incoming class was 512. BBFL - 128.00 CARS - 127.00 CPBS - 128.00 PSBB - 129.00 Please Note: While we maintained flexibility with online courses and with S/U grading during the height of the pandemic, w cal College. Applications from students with three years of undergraduate coursework should reflect a level of preparedness comparable to that of their four-year counterparts. The average undergraduate GPA for students in our most recent incoming class was 3.77 ov",,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Fetched reviewed assisted-search official URL even though the path is not stats-shaped.
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,https://www.einsteinmed.edu/education/md-program/admissions/application-procedure/recommendation-letters.aspx,Letter requirement URL from normalized source table,admissions_page,einsteinmed.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,https://www.einsteinmed.edu/education/mstp/admissions/application.aspx,Letter requirement URL from normalized source table,admissions_page,einsteinmed.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,https://www.alwmedschool.org/admissions/,Letter requirement URL from normalized source table,admissions_page,alwmedschool.org,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,https://www.alwmedschool.org/admissions/class-profiles,Alice L. Walton School of Medicine class profiles | Alice L. Walton School of Medicine,class_profile,alwmedschool.org,official_school_domain,1.00,fetched,accepted,2029,official published school profile,official_published_median,513,median,3.89,mean,,Baptist University The University of Alabama University of Texas at Austin Washington University in St. Louis Top States Arkansas Texas California Virginia Utah Florida Academics 513 Median MCAT 3.89 Mean GPA 3.87 Mean BCPM GPA Class performance information will be made available in the future. Connect with Us: Contact Us Join Our Newsletter: Sign Up Prospective Students ity The University of Alabama University of Texas at Austin Washington University in St. Louis Top States Arkansas Texas California Virginia Utah Florida Academics 513 Median MCAT 3.89 Mean GPA 3.87 Mean BCPM GPA Class performance information will be made available in the future. Connect with Us: Contact Us Join Our Newslett,,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Selected latest shared cohort year 2029.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,http://medicine.wright.edu/about/department-annual-reports,Department Annual Reports | Boonshoft School of Medicine,annual_report,medicine.wright.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,http://medicine.wright.edu/admissions,Wright State University Boonshoft School of Medicine,admissions_page,medicine.wright.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,http://medicine.wright.edu/admissions/welcome-to-the-incoming-class,Welcome to the Incoming Class | Boonshoft School of Medicine,school_homepage,medicine.wright.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,2029,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
