school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,official_domain_status,official_domain_score,fetch_status,extraction_status,review_status,stats_cohort_year,metric_population,metric_type,mcat_value,mcat_metric,gpa_value,gpa_metric,science_gpa_value,source_publication_date,source_last_checked,evidence_text,notes
do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,DO,https://www.atsu.edu/kcom/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,https://www.atsu.edu/school-of-osteopathic-medicine-arizona/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,https://www.acom.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,http://arcomedu.org/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,DO,https://www.baptistu.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,Burrell College School of Osteopathic Medicine,DO,https://www.burrel.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",DO,https://www.burrel.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,https://osteopathic.chsu.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,DO,http://www.campbell.edu/cusom/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,DO,https://www.dmu.edu/com/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_duqcom_duquesne_university_nasuti_college_of_osteopathic_medicine_pittsburgh_pen,Duquesne University Nasuti College of Osteopathic Medicine,DO,https://www.dmu.edu/com/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_dyu_com_d_youville_university_college_of_osteopathic_medicine_buffalo_new_york,D’Youville University College of Osteopathic Medicine,DO,https://www.dyu.edu/medicine,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,Edward Via College of Osteopathic Medicine,DO,http://www.vcom.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_vcom_virginia_edward_via_college_of_osteopathic_medicine_blacksburg_virginia,Edward Via College of Osteopathic Medicine,DO,http://www.vcom.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,DO,http://www.vcom.edu/auburn,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,DO,http://www.vcom.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,Idaho College of Osteopathic Medicine,DO,http://www.idahocom.org/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_illinoiscom_illinois_college_of_osteopathic_medicine_chicago_illinois,Illinois College of Osteopathic Medicine,DO,https://www.thechicagoschool.edu/academics/colleges/illinoiscom/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_iupcom_indiana_university_of_pennsylvania_college_of_osteopathic_medicine_indian,Indiana University of Pennsylvania College of Osteopathic Medicine,DO,https://www.iup.edu/academics/find-your-degree/programs/com/doctor-of-osteopathic-medicine.html,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_kcu_com_joplin_kansas_city_university_of_medicine_and_biosciences_college_of_ost,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,http://www.kcumb.edu/about-kcu/joplin,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_kcu_com_kansas_city_university_of_medicine_and_biosciences_college_of_osteopathi,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,https://www.kcumb.edu/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_kansascom_kansas_health_sciences_center_kansas_college_of_osteopathic_medicine_w,Kansas Health Sciences Center Kansas College of Osteopathic Medicine,DO,https://kansascom.kansashsc.org/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,Lake Erie College of Osteopathic Medicine – Bradenton,DO,https://lecom.edu/academics/the-college-of-medicine/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
do_lecom_elmira_lake_erie_college_of_osteopathic_medicine_elmira_elmira_new_york,Lake Erie College of Osteopathic Medicine – Elmira,DO,https://lecom.edu/academics/the-college-of-medicine/,School website from school_master,unknown,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,needs_review,,,,,,,,,,2026-06-08,,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
