school_id,school_name,degree_type,state_abbrev,school_website,candidate_source_url,candidate_source_title,candidate_source_type,source_status,official_domain_status,official_domain_score,official_match_reason,discovery_method,search_query,discovered_at,last_checked,fetch_status,review_status,notes
do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,DO,MO,https://www.atsu.edu/kcom/,https://www.atsu.edu/kcom/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""ATSU-KCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,AZ,https://www.atsu.edu/school-of-osteopathic-medicine-arizona/,https://www.atsu.edu/school-of-osteopathic-medicine-arizona/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""ATSU-SOMA"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,AL,https://www.acom.edu/,https://www.acom.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""ACOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,AR,http://arcomedu.org/,http://arcomedu.org/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""ARCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,DO,TN,https://www.baptistu.edu/,https://www.baptistu.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""BUCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,Burrell College School of Osteopathic Medicine,DO,NM,https://www.burrel.edu/,https://www.burrel.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""BCSOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",DO,FL,https://www.burrel.edu/,https://www.burrel.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""BCSOM-FL"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,CA,https://osteopathic.chsu.edu/,https://osteopathic.chsu.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""CHSU-COM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,DO,NC,http://www.campbell.edu/cusom/,http://www.campbell.edu/cusom/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""CUSOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,DO,IA,https://www.dmu.edu/com/,https://www.dmu.edu/com/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""DMU-COM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_duqcom_duquesne_university_nasuti_college_of_osteopathic_medicine_pittsburgh_pen,Duquesne University Nasuti College of Osteopathic Medicine,DO,PA,https://www.dmu.edu/com/,https://www.dmu.edu/com/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""DUQCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_dyu_com_d_youville_university_college_of_osteopathic_medicine_buffalo_new_york,D’Youville University College of Osteopathic Medicine,DO,NY,https://www.dyu.edu/medicine,https://www.dyu.edu/medicine,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""DYU-COM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,Edward Via College of Osteopathic Medicine,DO,SC,http://www.vcom.edu/,http://www.vcom.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""VCOM-Carolinas"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_vcom_virginia_edward_via_college_of_osteopathic_medicine_blacksburg_virginia,Edward Via College of Osteopathic Medicine,DO,VA,http://www.vcom.edu/,http://www.vcom.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""VCOM-Virginia"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,DO,AL,http://www.vcom.edu/auburn,http://www.vcom.edu/auburn,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""VCOM-Auburn Campus"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
