source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,2,University of Alabama School of Medicine*,University of Alabama School of Medicine,,AL,MD,3.87,3.87,509.4,509.4,494,494,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,3,University of South Alabama College of Medicine*,University of South Alabama College of Medicine,,AL,MD,3.85,3.85,508,508,For out-of-state applicants only: 70th percentile (~507.5),507.5,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,4,Alabama College of Osteopathic Medicine,Alabama College of Osteopathic Medicine,,AL,DO,3.60,3.6,503,503,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,5,Edward Via College of Osteopathic Medicine - Auburn Campus,Edward Via College of Osteopathic Medicine - Auburn Campus,,AL,DO,3.76,3.76,502,502,494,494,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,6,University of Arkansas for Medical Sciences College of Medicine*,University of Arkansas for Medical Sciences College of Medicine,,AR,MD,3.85,3.85,507,507,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,7,Arkansas College of Osteopathic Medicine,Arkansas College of Osteopathic Medicine,,AR,DO,3.5+,3.5,500+,500,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,8,University of Arizona College of Medicine - Tucson*,University of Arizona College of Medicine - Tucson,,AZ,MD,3.74,3.74,508,508,498,498,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,9,University of Arizona School of Medicine - Phoenix*,University of Arizona School of Medicine - Phoenix,,AZ,MD,3.82,3.82,514,514,495,495,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,10,Mayo Clinic Alix School of Medicine,Mayo Clinic Alix School of Medicine,,AZ,MD,3.95,3.95,521,521,508,508,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,11,A.T. Still University School of Osteopathic Medicine Arizona (SOMA),A.T. Still University School of Osteopathic Medicine Arizona (SOMA),,AZ,DO,3.53,3.53,502,502,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,12,Arizona College of Osteopathic Medicine of Midwestern University,Arizona College of Osteopathic Medicine of Midwestern University,,AZ,DO,3.58,3.58,504,504,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,13,California Northstate University College of Medicine,California Northstate University College of Medicine,,CA,MD,3.83,3.83,513.3,513.3,497,497,
