school_id,school_name,degree_type,current_mcat,current_gpa,aacom_mcat,aacom_gpa,mcat_delta,gpa_delta,current_source_name,current_source_url,aacom_source_url,conflict_status,notes
do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,DO,503,3.69,502.9,3.62,-0.1,-0.07,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/a-t-still-university-of-health-sciences---kirksville-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,502,3.53,502.6,3.56,0.6,0.03,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/a.t.-still-university-school-of-osteopathic-medicine-in-arizona,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,501.5,3.37,503.6,3.58,2.1,0.21,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/alabama-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,501.5,3.37,498.7,3.56,-2.8,0.19,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/arkansas-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,DO,505,3.62,498.4,3.5,-6.6,-0.12,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer/school/Baptist Health Sciences University COM,https://www.aacom.org/detail-pages/com/baptist-health-sciences-university-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,Burrell College School of Osteopathic Medicine,DO,504.5,3.67,500,3.46,-4.5,-0.21,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer/school/Burrell COM,https://www.aacom.org/detail-pages/com/burrell-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",DO,,,500,3.46,,,,,https://www.aacom.org/detail-pages/com/burrell-college---florida-campus,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,505.7,3.52,504.9,3.58,-0.8,0.06,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/california-health-sciences-university-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,DO,506,3.61,504.6,3.61,-1.4,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/campbell-university-jerry-m.-wallace-school-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,DO,504,3.62,507.1,3.71,3.1,0.09,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/des-moines-university-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_duqcom_duquesne_university_nasuti_college_of_osteopathic_medicine_pittsburgh_pen,Duquesne University Nasuti College of Osteopathic Medicine,DO,,,505.7,3.63,,,,,https://www.aacom.org/detail-pages/com/duquesne-university-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,DO,501,3.69,502.2,3.73,1.2,0.04,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/edward-via-college-of-osteopathic-medicine-auburn,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,Edward Via College of Osteopathic Medicine,DO,,,501.7,3.72,,,,,https://www.aacom.org/detail-pages/com/edward-via-college-of-osteopathic-medicine-carolinas,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_vcom_virginia_edward_via_college_of_osteopathic_medicine_blacksburg_virginia,Edward Via College of Osteopathic Medicine,DO,,,503.2,3.68,,,,,https://www.aacom.org/detail-pages/com/edward-via-college-of-osteopathic-medicine-virginia-campus,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,DO,501,3.69,498.7,3.69,-2.3,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/edward-via-college-of-osteopathic-medicine-louisiana,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,Idaho College of Osteopathic Medicine,DO,503.8,3.53,503.2,3.56,-0.6,0.03,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/idaho-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_kcu_com_kansas_city_university_of_medicine_and_biosciences_college_of_osteopathi,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,,,504.5,3.68,,,,,https://www.aacom.org/detail-pages/com/kansas-city-university-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_kcu_com_joplin_kansas_city_university_of_medicine_and_biosciences_college_of_ost,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,505,3.62,504.5,3.68,-0.5,0.06,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/kansas-city-university-college-of-osteopathic-medicine---joplin-campus,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_kansascom_kansas_health_sciences_center_kansas_college_of_osteopathic_medicine_w,Kansas Health Sciences Center Kansas College of Osteopathic Medicine,DO,,,496.9,3.53,,,,,https://www.aacom.org/detail-pages/com/kansas-health-science-center-kansas-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,Lake Erie College of Osteopathic Medicine – Bradenton,DO,502,3.71,505.2,3.71,3.2,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/lake-erie-college-of-osteopathic-medicine-bradenton,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lecom_elmira_lake_erie_college_of_osteopathic_medicine_elmira_elmira_new_york,Lake Erie College of Osteopathic Medicine – Elmira,DO,,,502.3,3.64,,,,,https://www.aacom.org/detail-pages/com/lecom-at-elmira,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,Lake Erie College of Osteopathic Medicine – Erie,DO,503,3.41,502.3,3.64,-0.7,0.23,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/lake-erie-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lecom_jacksonville_lake_erie_college_of_osteopathic_medicine_jacksonville_jackso,Lake Erie College of Osteopathic Medicine – Jacksonville,DO,,,502.3,3.64,,,,,https://www.aacom.org/detail-pages/com/lake-erie-college-of-osteopathic-medicine-at-jacksonville-university,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lecom_seton_hill_lake_erie_college_of_osteopathic_medicine_seton_hill_greensburg,Lake Erie College of Osteopathic Medicine – Seton Hill,DO,,,502.3,3.64,,,,,https://www.aacom.org/detail-pages/com/lecom-at-seton-hill,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lucom_liberty_university_college_of_osteopathic_medicine_lynchburg_virginia,Liberty University College of Osteopathic Medicine,DO,504,3.62,503.3,3.63,-0.7,0.01,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/liberty-university-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lmu_dcom_lincoln_memorial_university_debusk_college_of_osteopathic_medicine_harr,Lincoln Memorial University-DeBusk College of Osteopathic Medicine,DO,501,3.4,497,3.6,-4,0.2,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/lincoln-memorial-university-debusk-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lmu_dcom_knoxville_lincoln_memorial_university_debusk_college_of_osteopathic_med,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Knoxville,DO,,,497,3.6,,,,,https://www.aacom.org/detail-pages/com/dcom-at-lmu-knoxville,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_lmu_dcom_orange_park_lincoln_memorial_university_debusk_college_of_osteopathic_m,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Orange Park,DO,,,497,3.6,,,,,https://www.aacom.org/detail-pages/com/lmu-dcom-at-orange-park,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_mu_wcom_marian_university_tom_and_julie_wood_college_of_osteopathic_medicine_ind,Marian University Tom and Julie Wood College of Osteopathic Medicine,DO,,,500.8,3.77,,,,,https://www.aacom.org/detail-pages/com/marian-university-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,Meritus School of Osteopathic Medicine,DO,506,3.69,500.5,3.55,-5.5,-0.14,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer/school/Meritus SOM,https://www.aacom.org/detail-pages/com/meritus-school-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,DO,,,506.7,3.75,,,,,https://www.aacom.org/detail-pages/com/michigan-state-university-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,DO,505.5,3.61,506.7,3.75,1.2,0.14,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/msucom-in-detroit,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,506.5,3.62,504.1,3.62,-2.4,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/arizona-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,DO,506.5,3.62,508.8,3.66,2.3,0.04,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/chicago-college-of-osteopathic-medicine-at-midwestern-university,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,DO,506,3.62,504.6,3.69,-1.4,0.07,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/new-york-institute-of-technology-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,DO,,,504.6,3.69,,,,,https://www.aacom.org/detail-pages/com/nyitcom-at-arkansas-state,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,Noorda College of Osteopathic Medicine,DO,503.8,3.53,501.8,3.47,-2,-0.06,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/noorda-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,,,504.5,3.71,,,,,https://www.aacom.org/detail-pages/com/nova-southeastern-university-dr.-kiran-c.-patel-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
