school_id,school_name,degree_type,candidate_count,matched_candidate_count,fetched_candidate_count,accepted_extraction_count,current_canonical_has_mcat,current_canonical_has_gpa,coverage_status,next_action
do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_tvcom_the_valley_college_of_osteopathic_medicine_phoenix_arizona,The Valley College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_westernu_comp_western_university_of_health_sciences_college_of_osteopathic_medic,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_tucom_touro_university_college_of_osteopathic_medicine_california_vallejo_califo,Touro University College of Osteopathic Medicine-California,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_unc_com_university_of_northern_colorado_college_of_osteopathic_medicine_greely_c,University of Northern Colorado College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_rvucom_rocky_vista_university_college_of_osteopathic_medicine_parker_colorado,Rocky Vista University College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,Lake Erie College of Osteopathic Medicine – Bradenton,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_ocom_orlando_college_of_osteopathic_medicine_celebration_florida,Orlando College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_nsu_kpcom_clearwater_nova_southeastern_university_dr_kiran_c_patel_college_of_os,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
