cluster_id,canonical_school_name,school_id,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,recommended_action
4,Alabama College of Osteopathic Medicine,do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.6;3.5;3;3.7;3.75;3.58,3 - 3.75,0.75,503;500;505;503;504,500 - 505,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
5,Albany Medical College,md_albany_medical_college_albany_new_york,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.74;3.8;3.77;3.86,3.74 - 3.86,0.12,511;512;512;512.5,511 - 512.5,1.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
6,Albert Einstein College of Medicine,md_albert_einstein_college_of_medicine_new_york_new_york,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.82;3.93,3.82 - 3.93,0.11,516;519,516 - 519,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
15,Boston University Sch of Med,,cycletrack_acceptance_median;matchguy,2,major_conflict,3.76;3.91,3.76 - 3.91,0.15,517;520,517 - 520,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
17,Brown University The Warren Alpert Medical School,md_the_warren_alpert_medical_school_of_brown_university_providence_rhode_island,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.79;3.83;3.76,3.76 - 3.83,0.07,515;516;516,515 - 516,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
22,California Northstate University College of Medicine,md_california_northstate_university_college_of_medicine_elk_grove_california,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.72;3.76;3.83;3.83,3.72 - 3.83,0.11,513;508;513.3;513.4,508 - 513.4,5.4,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
23,California University of Science and Medicine,,cycletrack_acceptance_median;matchguy;shemmassian,3,major_conflict,3.61;3.79,3.61 - 3.79,0.18,511;510;515,510 - 515,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
29,Case Western Reserve University School of Medicine,md_case_western_reserve_university_school_of_medicine_cleveland_ohio,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.86;3.9;3.9,3.86 - 3.9,0.04,519;517;517,517 - 519,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
31,Central Michigan University College of Medicine,,prospectivedoctor;shemmassian,2,major_conflict,3.69;3.8,3.69 - 3.8,0.11,508;506,506 - 508,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
33,Chicago Medical School at Rosalind Franklin University of Medicine and Science,md_chicago_medical_school_at_rosalind_franklin_university_of_medicine_and_science_n,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.69;3.69,3.69 - 3.69,0,513;508;508,508 - 513,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
