source_table,source_row_number,source_school_name,source_state,school_id,school_name,match_score,second_match_score,review_reason,recommended_action,notes
aamc_msar_tuition_school_master_patch_candidates.csv,80,Methodist University Cape Fear Valley Health School of Medicine,NC,md_methodist_university_cape_fear_valley_health_school_of_medicine_fayetteville_nor,Methodist University Cape Fear Valley Health School of Medicine,1,0.229,all_zero_cost_row,review source row and add source_match_override if safe,all reported cost fields are zero; all reported cost fields are zero
aamc_msar_tuition_school_master_patch_candidates.csv,63,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,MD,md_uniformed_services_university_of_the_health_sciences_f_edward_h_bert_school_of_m,"Uniformed Services University of the Health Sciences, F. Edward Hébert School of Medicine",1,0.197,all_zero_cost_row,review source row and add source_match_override if safe,all reported cost fields are zero; all reported cost fields are zero
aamc_msar_tuition_school_master_patch_candidates.csv,40,University of Georgia School of Medicine,GA,md_university_of_georgia_school_of_medicine_athens_georgia,University of Georgia School of Medicine,1,0.727,all_zero_cost_row,review source row and add source_match_override if safe,all reported cost fields are zero; all reported cost fields are zero
aamc_msar_tuition_school_master_patch_candidates.csv,143,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,TX,md_paul_l_foster_school_of_medicine_texas_tech_university_health_sciences_center_at,Paul L. Foster School of Medicine Texas Tech University Health Sciences Center at El Paso,0.91,0.9,ambiguous_high_confidence_cost_match,review source row and add source_match_override if safe,ambiguous high-confidence match
aamc_msar_tuition_school_master_patch_candidates.csv,6,University of Arizona College of Medicine,AZ,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,0.94,0.94,ambiguous_high_confidence_cost_match,review source row and add source_match_override if safe,ambiguous high-confidence match
school_master.csv,,,MO,do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,AZ,do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,AL,do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,AR,do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,TN,do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,NM,do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,Burrell College School of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
