severity,file,row_id,field,message,suggested_fix
warning,data/manual/admissions_source_queue.csv,do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_tvcom_the_valley_college_of_osteopathic_medicine_phoenix_arizona,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_westernu_comp_western_university_of_health_sciences_college_of_osteopathic_medic,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_tucom_touro_university_college_of_osteopathic_medicine_california_vallejo_califo,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_unc_com_university_of_northern_colorado_college_of_osteopathic_medicine_greely_c,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_rvucom_rocky_vista_university_college_of_osteopathic_medicine_parker_colorado,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_ocom_orlando_college_of_osteopathic_medicine_celebration_florida,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_nsu_kpcom_clearwater_nova_southeastern_university_dr_kiran_c_patel_college_of_os,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lecom_jacksonville_lake_erie_college_of_osteopathic_medicine_jacksonville_jackso,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lmu_dcom_orange_park_lincoln_memorial_university_debusk_college_of_osteopathic_m,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_pcom_south_georgia_philadelphia_college_of_osteopathic_medicine_south_georgia_mo,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_pcom_georgia_philadelphia_college_of_osteopathic_medicine_georgia_suwanee_georgi,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_illinoiscom_illinois_college_of_osteopathic_medicine_chicago_illinois,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_mu_wcom_marian_university_tom_and_julie_wood_college_of_osteopathic_medicine_ind,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_kansascom_kansas_health_sciences_center_kansas_college_of_osteopathic_medicine_w,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_up_kycom_university_of_pikeville_kentucky_college_of_osteopathic_medicine_pikevi,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_unecom_university_of_new_england_college_of_osteopathic_medicine_biddeford_maine,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
