school_id,school_name,degree_type,current_mcat,current_gpa,official_mcat,official_gpa,mcat_delta,gpa_delta,current_source_name,current_source_url,official_source_url,conflict_status,notes
md_charles_e_schmidt_college_of_medicine_at_florida_atlantic_university_boca_raton_,Charles E. Schmidt College of Medicine at Florida Atlantic University,MD,515,3.85,515,3.85,0,0,Official MD school source,https://www.fau.edu/medicine/md/admissions/entering-class/index.php,https://www.fau.edu/medicine/md/admissions/entering-class/index.php,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_chicago_medical_school_at_rosalind_franklin_university_of_medicine_and_science_n,Chicago Medical School at Rosalind Franklin University of Medicine and Science,MD,508,3.69,508,3.69,0,0,Official MD school source,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-programs/allopathic-medicine-md/class-profile/,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-programs/allopathic-medicine-md/class-profile/,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,512.6,3.8,514.9,3.81,2.3,0.01,ProspectiveDoctor; Shemmassian; The Match Guy,https://som.georgetown.edu/prospectivestudents/degrees/md; http://med.emory.edu/education/admissions/md/index.html; http://medicine.mercer.edu/admissions/md/; http://www.bumc.bu.edu/busm/admissions/degree-programs/md-program/; http://medicine.tufts.edu/Admissions.aspx; https://medschool.creighton.edu/program/Medicine-MD; http://www.med.nyu.edu/school/md-admissions; https://medicine.stonybrookmedicine.edu/admissions_SOM; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://med.emory.edu/education/programs/md/class-profile/index.html,large_delta_review,Accepted MD official extraction compared to current canonical admissions_stats row.
md_georgetown_university_school_of_medicine_washington_district_of_columbia,Georgetown University School of Medicine,MD,513,3.76,513,3.76,0,0,Official MD school source,https://som.georgetown.edu/prospectivestudents/degrees/md,https://som.georgetown.edu/prospectivestudents/degrees/md,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_indiana_university_school_of_medicine_indianapolis_indiana,Indiana University School of Medicine,MD,512.4,3.84,512.4,3.84,0,0,Official MD school source,https://medicine.iu.edu/facts,https://medicine.iu.edu/facts,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_morehouse_school_of_medicine_atlanta_georgia,Morehouse School of Medicine,MD,504.6,3.64,505.6,3.64,1,0,ProspectiveDoctor; Shemmassian; The Match Guy,http://www.msm.edu/Admissions/doctorofmedicine.php; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://enews.msm.edu/Admissions/doctor-of-medicine/fact-sheet.php,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,MD,523,3.98,523,3.98,0,0,Official MD school source,https://med.nyu.edu/education/md-degree/md-admissions/by-the-numbers,https://med.nyu.edu/education/md-degree/md-admissions/by-the-numbers,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_the_ohio_state_university_college_of_medicine_columbus_ohio,The Ohio State University College of Medicine,MD,513.8,3.83,514,3.83,0.2,0,ProspectiveDoctor; Shemmassian; The Match Guy,https://medicine.osu.edu/education/md/admissions; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://medicine.osu.edu/education/md/admissions/before-you-apply/entering-class-profile,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_tufts_university_school_of_medicine_boston_massachusetts,Tufts University School of Medicine,MD,514,3.82,514,3.82,0,0,Official MD school source,https://medicine.tufts.edu/academics/medicine/class-profile,https://medicine.tufts.edu/academics/medicine/class-profile,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
md_usf_health_morsani_college_of_medicine_tampa_florida,USF Health Morsani College of Medicine,MD,520,3.95,520,3.95,0,0,Official MD school source,https://www.usf.edu/health/news/2024/mcom-welcomes-class-of-2028.aspx,https://www.usf.edu/health/news/2024/mcom-welcomes-class-of-2028.aspx,aligned_or_small_delta,Accepted MD official extraction compared to current canonical admissions_stats row.
