school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,fetch_status,extraction_status,review_status,review_reason,evidence_text,recommended_action,last_checked,notes
md_albany_medical_college_albany_new_york,Albany Medical College,MD,http://www.amc.edu/Academic/Undergraduate_Admissions/index.cfm,Albany Medical College,admissions_page,amc.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_albany_medical_college_albany_new_york,Albany Medical College,MD,https://www.amc.edu/academic/undergraduate/upload/Frequently-Asked-Questions.pdf,Letter requirement URL from normalized source table,pdf_report,amc.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,https://www.einsteinmed.edu/education/md-program/admissions/application-procedure/recommendation-letters.aspx,Letter requirement URL from normalized source table,admissions_page,einsteinmed.edu,official_school_domain,1.00,fetch_failed_http_403,fetch_failed_http_403,needs_review,fetch_failed_http_403,,Review source manually.,2026-06-08,HTTP Error 403: Forbidden
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,https://www.einsteinmed.edu/education/mstp/admissions/application.aspx,Letter requirement URL from normalized source table,admissions_page,einsteinmed.edu,official_school_domain,1.00,fetch_failed_http_403,fetch_failed_http_403,needs_review,fetch_failed_http_403,,Review source manually.,2026-06-08,HTTP Error 403: Forbidden
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,https://www.alwmedschool.org/admissions/,AWSOM Admission Requirements | Alice L. Walton School of Medicine | Alice L. Walton School of Medicine,annual_report,alwmedschool.org,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found. Fetched official domain seed in less conservative mode.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,http://medicine.wright.edu/about/department-annual-reports,Department Annual Reports | Boonshoft School of Medicine,annual_report,medicine.wright.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,http://medicine.wright.edu/admissions,Admissions | Boonshoft School of Medicine,school_homepage,medicine.wright.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found. Fetched official domain seed in less conservative mode.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,http://medicine.wright.edu/admissions/welcome-to-the-incoming-class,Welcome to the Incoming Class | Boonshoft School of Medicine,school_homepage,medicine.wright.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_brody_school_of_medicine_at_east_carolina_university_greenville_north_carolina,Brody School of Medicine at East Carolina University,MD,http://www.ecu.edu/bsomadmissions/,East Carolina University Brody School of Medicine,admissions_page,ecu.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,MD,http://medicine.cnsu.edu/students-com/admissions,California Northstate University College of Medicine,admissions_page,medicine.cnsu.edu,official_school_domain,1.00,fetch_failed_http_403,fetch_failed_http_403,needs_review,fetch_failed_http_403,,Review source manually.,2026-06-08,HTTP Error 403: Forbidden
md_case_western_reserve_university_school_of_medicine_cleveland_ohio,Case Western Reserve University School of Medicine,MD,http://case.edu/medicine/admissions/,Case Western Reserve University School of Medicine,admissions_page,case.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_case_western_reserve_university_school_of_medicine_cleveland_ohio,Case Western Reserve University School of Medicine,MD,https://case.edu/medicine/anatomy/education/ms-applied-anatomy/students-and-alumni/class-profile,Class Profile | Anatomy | School of Medicine | Case Western Reserve University,class_profile,case.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
