applicant_profile_id,profile_name,profile_source,school_id,school_name,score_model,score_group,component_column,component_label,raw_applicant_value,raw_school_value,applicant_value_band,school_value_band,delta_value,delta_band,raw_context,normalized_score,component_weight,weight_basis,weighted_contribution,component_coverage_status,source_type,source_name,source_url,data_confidence,formula_note,missing_reason,warning
template_profile,Template Profile,public_template,md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,Decision Rank,Admissions Score,admissions_mcat_fit_score,Mcat Fit,,,,,,,Applicant MCAT band missing vs school MCAT average missing,,25,present_components_only,,missing,missing,,,,"clamp(1, 10, 7 + (applicant_mcat - school_mcat) / 2)",missing applicant MCAT or school MCAT,missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit
template_profile,Template Profile,public_template,md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,Decision Rank,Admissions Score,admissions_gpa_fit_score,Gpa Fit,,,,,,,Applicant GPA band missing vs school GPA average missing,,20,present_components_only,,missing,missing,,,,"clamp(1, 10, 7 + (applicant_gpa - school_gpa) / 0.08)",missing applicant GPA or school GPA,missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit
template_profile,Template Profile,public_template,md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,Decision Rank,Admissions Score,admissions_oos_friendliness_score,Oos Friendliness,,,,NY,,missing_applicant_state,Applicant state missing; school state NY,,15,present_components_only,,missing,missing,admissions_policies.csv,https://lcme.org/directory/accredited-programs/,derived from residency and available policy,same state = 10; OOS accepted = 6; OOS not accepted = 1; missing policy = 4,missing applicant state,missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit
template_profile,Template Profile,public_template,md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,Decision Rank,Admissions Score,admissions_mission_fit_score,Mission Fit,,,,,,,,,20,present_components_only,,missing,missing,LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",1-10 score where higher means stronger fit,component input missing,
template_profile,Template Profile,public_template,md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,Decision Rank,Admissions Score,admissions_research_fit_score,Research Fit,,,,,,,,,10,present_components_only,,missing,missing,LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",1-10 score where higher means stronger fit,component input missing,
template_profile,Template Profile,public_template,md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,Decision Rank,Admissions Score,admissions_clinical_fit_score,Clinical Fit,,,,,,,,,10,present_components_only,,missing,missing,LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",1-10 score where higher means stronger fit,component input missing,
template_profile,Template Profile,public_template,md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,Decision Rank,Admissions Score,admissions_mcat_fit_score,Mcat Fit,,523,,Greater than 517,,,Applicant MCAT band missing vs school MCAT average 523,,25,present_components_only,,missing,missing,Official MD school source,https://med.nyu.edu/education/md-degree/md-admissions/by-the-numbers,md_official_public_source,"clamp(1, 10, 7 + (applicant_mcat - school_mcat) / 2)",missing applicant MCAT or school MCAT,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit
template_profile,Template Profile,public_template,md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,Decision Rank,Admissions Score,admissions_gpa_fit_score,Gpa Fit,,3.98,,Greater than 3.79,,,Applicant GPA band missing vs school GPA average 3.98,,20,present_components_only,,missing,missing,Official MD school source,https://med.nyu.edu/education/md-degree/md-admissions/by-the-numbers,md_official_public_source,"clamp(1, 10, 7 + (applicant_gpa - school_gpa) / 0.08)",missing applicant GPA or school GPA,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit
template_profile,Template Profile,public_template,md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,Decision Rank,Admissions Score,admissions_oos_friendliness_score,Oos Friendliness,,,,NY,,missing_applicant_state,Applicant state missing; school state NY,,15,present_components_only,,missing,missing,admissions_policies.csv,https://lcme.org/directory/accredited-programs/,derived from residency and available policy,same state = 10; OOS accepted = 6; OOS not accepted = 1; missing policy = 4,missing applicant state,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit
template_profile,Template Profile,public_template,md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,Decision Rank,Admissions Score,admissions_mission_fit_score,Mission Fit,,,,,,,,,20,present_components_only,,missing,missing,LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",1-10 score where higher means stronger fit,component input missing,
