methodology_area,input_band_or_condition,score,display_label,notes,formula_reference
aamc_mcat_selector,Less than 486,485,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,486-489,487.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,490-493,491.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,494-497,495.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,498-501,499.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,502-505,503.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,506-509,507.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,510-513,511.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,514-517,515.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_mcat_selector,Greater than 517,520,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_gpa_selector,Greater than 3.79,3.89,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_gpa_selector,3.60-3.79,3.7,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_gpa_selector,3.40-3.59,3.5,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
aamc_gpa_selector,3.20-3.39,3.29,Selector midpoint,Public-safe AAMC band midpoint used only for browser-side MD proof-of-concept reranking.,band midpoint
