cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
4,Alabama College of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.6;3.5;3;3.7;3.75;3.58,3 - 3.75,0.75,503;500;505;503;504,500 - 505,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Alabama College of Osteopathic Medicine; Arkansas College of Osteopathic Medicine; Kansas College of Osteopathic Medicine,published school average GPA and MCAT,3.6; 3.5; 3,503; 500,,,,,,,,,Alabama College of Osteopathic Medicine; Arkansas College of Osteopathic Medicine; Kansas College of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.7; 3.75; 3.58,505; 503; 504,https://cycletrack.org/explorer/school/Alabama COM; https://cycletrack.org/explorer/school/Arkansas COM; https://cycletrack.org/explorer/school/Kansas COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
5,Albany Medical College,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.74;3.8;3.77;3.86,3.74 - 3.86,0.12,511;512;512;512.5,511 - 512.5,1.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Albany Medical College,published school average GPA and MCAT,3.74,511,http://www.amc.edu/Academic/Undergraduate_Admissions/index.cfm,,Albany Medical College,published school average GPA and MCAT,3.8,512,,,Albany Medical College,published school average GPA and MCAT,3.77,512,,,Albany Medical College,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,512.5,https://cycletrack.org/explorer/school/Albany,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
6,Albert Einstein College of Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.82;3.93,3.82 - 3.93,0.11,516;519,516 - 519,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Albert Einstein College of Medicine,published school average GPA and MCAT,3.82,516,,,,,,,,,Albert Einstein College of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,519,https://cycletrack.org/explorer/school/Albert Einstein,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
15,Boston University Sch of Med,cycletrack_acceptance_median;matchguy,2,major_conflict,3.76;3.91,3.76 - 3.91,0.15,517;520,517 - 520,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Boston University Sch of Med,published school average GPA and MCAT,3.76,517,,,Boston University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,520,https://cycletrack.org/explorer/school/Boston,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
17,Brown University The Warren Alpert Medical School,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.79;3.83;3.76,3.76 - 3.83,0.07,515;516;516,515 - 516,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Brown University The Warren Alpert Medical School,published school average GPA and MCAT,3.79,515,https://www.brown.edu/academics/medical/admission/,,Brown University The Warren Alpert Medical School,published school average GPA and MCAT,3.83,516,,,Brown University The Warren Alpert Medical School,published school average GPA and MCAT,3.76,516,,,,,,,,
22,California Northstate University College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.72;3.76;3.83;3.83,3.72 - 3.83,0.11,513;508;513.3;513.4,508 - 513.4,5.4,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,California Northstate University College of Medicine; Florida State University College of Medicine,published school average GPA and MCAT,3.72; 3.76,513; 508,http://medicine.cnsu.edu/students-com/admissions; http://med.fsu.edu/index.cfm?page=mdAdmissions.home&usemenu=prospectiveStudents,,California Northstate University College of Medicine,published school average GPA and MCAT,3.83,513.3,,,California Northstate University College of Medicine,published school average GPA and MCAT,3.83,513.4,,,,,,,,
23,California University of Science and Medicine,cycletrack_acceptance_median;matchguy;shemmassian,3,major_conflict,3.61;3.79,3.61 - 3.79,0.18,511;510;515,510 - 515,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,California University of Science and Medicine,published school average GPA and MCAT,3.61,511,,,California University of Science and Medicine,published school average GPA and MCAT,,510,,,California University of Science and Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.79,515,https://cycletrack.org/explorer/school/California University of Science and Medicine,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
29,Case Western Reserve University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.86;3.9;3.9,3.86 - 3.9,0.04,519;517;517,517 - 519,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Case Western Reserve University School of Medicine,published school average GPA and MCAT,3.86,519,http://case.edu/medicine/admissions/,,Case Western Reserve University School of Medicine,published school average GPA and MCAT,3.9,517,,,Case Western Reserve University School of Medicine,published school average GPA and MCAT,3.9,517,,,,,,,,
31,Central Michigan University College of Medicine,prospectivedoctor;shemmassian,2,major_conflict,3.69;3.8,3.69 - 3.8,0.11,508;506,506 - 508,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Central Michigan University College of Medicine,published school average GPA and MCAT,3.69,508,https://www.cmich.edu/academics/colleges/college-of-medicine,,Central Michigan University College of Medicine,published school average GPA and MCAT,3.8,506,,source row carried an asterisk,,,,,,,,,,,,
33,Chicago Medical School at Rosalind Franklin University of Medicine and Science,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.69;3.69,3.69 - 3.69,0,513;508;508,508 - 513,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Chicago Medical School at Rosalind Franklin University of Medicine & Science,published school average GPA and MCAT,,513,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-program/how-to-apply/,parsed GPA outside expected range; excluded invalid GPA from comparison math: 374,Chicago Medical School at Rosalind Franklin University of Medicine and Science,published school average GPA and MCAT,3.69,508,,,Chicago Medical School at Rosalind Franklin University of Medicine & Science,published school average GPA and MCAT,3.69,508,,,,,,,,
36,Columbia University College of Physicians and Surgeons,prospectivedoctor;shemmassian,2,minor_conflict,3.92;3.85,3.85 - 3.92,0.07,522;521,521 - 522,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Columbia University College of Physicians and Surgeons,published school average GPA and MCAT,3.92,522,http://ps.columbia.edu/education/admissions,,Columbia University College of Physicians and Surgeons,published school average GPA and MCAT,3.85,521,,,,,,,,,,,,,,
45,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,prospectivedoctor;shemmassian,2,major_conflict,3;3.42,3 - 3.42,0.42,498,498,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,published school average GPA and MCAT,3,498,http://www.cdrewu.edu/com/CDU_UCLAMedicalStudentProgram/UndergraduateMedicalEducationPrograms,,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,published school average GPA and MCAT,3.42,,,,,,,,,,,,,,,
50,East Carolina University Brody School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.71;3.88;3.77;3.8;3.8,3.71 - 3.88,0.17,509;509;510;511;511,509 - 511,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,East Carolina University Brody School of Medicine; West Virginia University School of Medicine,published school average GPA and MCAT,3.71; 3.88,509,http://www.ecu.edu/bsomadmissions/; http://medicine.hsc.wvu.edu/md-admissions/,,East Carolina University Brody School of Medicine; West Virginia University School of Medicine,published school average GPA and MCAT,3.77; 3.8,510; 511,,source row carried an asterisk,West Virginia University School of Medicine,published school average GPA and MCAT,3.8,511,,,,,,,,
52,East Tennessee State University Quillen College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.81;3.85;3.85,3.81 - 3.85,0.04,508;513;512.82,508 - 513,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,East Tennessee State University Quillen College of Medicine,published school average GPA and MCAT,3.81,508,http://www.etsu.edu/com/sa/admissions/,,East Tennessee State University Quillen College of Medicine,published school average GPA and MCAT,3.85,513,,source row carried an asterisk,East Tennessee State University James H. Quillen College of Medicine,published school average GPA and MCAT,3.85,512.82,,,,,,,,
53,Eastern Virginia Medical School,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,minor_conflict,3.71;3.7;3.7;3.79,3.7 - 3.79,0.09,513;513;513;514.5,513 - 514.5,1.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Eastern Virginia Medical School,published school average GPA and MCAT,3.71,513,http://www.evms.edu/education/medical_programs/doctor_of_medicine/,,Eastern Virginia Medical School,published school average GPA and MCAT,3.7,513,,source row carried an asterisk,Eastern Virginia Medical School,published school average GPA and MCAT,3.7,513,,,Eastern Virginia Medical School,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.79,514.5,https://cycletrack.org/explorer/school/Eastern Virginia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
55,Edward Via College of Osteopathic Medicine - Auburn Campus,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.76;3.7;3.7;3.6;3.75,3.6 - 3.76,0.16,502;502;500;502;506.5,500 - 506.5,6.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Edward Via College of Osteopathic Medicine - Auburn Campus; Edward Via College of Osteopathic Medicine - Louisiana Campus; Edward Via College of Osteopathic Medicine - Carolinas Campus; Edward Via College of Osteopathic Medicine - Virginia Campus,published school average GPA and MCAT,3.76; 3.7; 3.6,502; 500,,,,,,,,,Edward Via College of Osteopathic Medicine (Auburn),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.75,506.5,https://cycletrack.org/explorer/school/Edward Via - Auburn,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
61,Florida State University College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.92;3.68;3.83;3.83,3.68 - 3.92,0.24,517;507;514;514,507 - 517,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,The Ohio State University College of Medicine,published school average GPA and MCAT,3.92,517,https://medicine.osu.edu/education/md/admissions,,Florida State University College of Medicine; The Ohio State University College of Medicine,published school average GPA and MCAT,3.68; 3.83,507; 514,,source row carried an asterisk,Ohio State University College of Medicine,published school average GPA and MCAT,3.83,514,,,,,,,,
63,Geisinger Commonwealth School of Medicine,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.76;3.81;3.81;3.88,3.76 - 3.88,0.12,512;513.06;513.06;517,512 - 517,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Geisinger Commonwealth School of Medicine,published school average GPA and MCAT,3.76,512,https://tcmc.edu/admissions/md-admissions/,,Geisinger Commonwealth School of Medicine,published school average GPA and MCAT,3.81,513.06,,,Geisinger Commonwealth School of Medicine,published school average GPA and MCAT,3.81,513.06,,,Geisinger Commonwealth School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.88,517,https://cycletrack.org/explorer/school/Geisinger Commonwealth,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
65,George Washington University School of Medicine and Health Sciences,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.78;3.94;3.74;3.88;3.88;3.7;3.8,3.7 - 3.94,0.24,513;521;512;515;519.5;511;515,511 - 521,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,George Washington University School of Medicine and Health Sciences; Washington University School of Medicine; University of Washington School of Medicine,published school average GPA and MCAT,3.78; 3.94; 3.74,513; 521; 512,http://smhs.gwu.edu/academics/md-program/admissions; https://medicine.wustl.edu/education/admissions/#medical-education; http://www.uwmedicine.org/education/md-program/admissions,,George Washington University School of Medicine and Health Sciences; Washington University School of Medicine; University of Washington School of Medicine,published school average GPA and MCAT,3.88; 3.7,515; 519.5; 511,,source row carried an asterisk,George Washington University School of Medicine and Health Sciences,published school average GPA and MCAT,3.8,515,,,,,,,,
67,Georgetown University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.79;3.8;3.73;3.86;3.78;3.84;3.9;3.86;3.76;3.7;3.69;3.76;3.82;3.86;3.89;3.86;3.81;3.76;3.69;3.82,3.69 - 3.9,0.21,513;517;504;518;515;513;520;516;513;514;503;517;514;513;514;513;514.9;513;503;514,503 - 520,17,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Georgetown University School of Medicine; Emory University School of Medicine; Mercer University School of Medicine; Boston University School of Medicine; Tufts University School of Medicine; Creighton University School of Medicine; New York University School of Medicine; Stony Brook University School of Medicine,published school average GPA and MCAT,3.79; 3.8; 3.73; 3.86; 3.78; 3.84; 3.9,513; 517; 504; 518; 515; 520; 516,https://som.georgetown.edu/prospectivestudents/degrees/md; http://med.emory.edu/education/admissions/md/index.html; http://medicine.mercer.edu/admissions/md/; http://www.bumc.bu.edu/busm/admissions/degree-programs/md-program/; http://medicine.tufts.edu/Admissions.aspx; https://medschool.creighton.edu/program/Medicine-MD; http://www.med.nyu.edu/school/md-admissions; https://medicine.stonybrookmedicine.edu/admissions_SOM,,Georgetown University School of Medicine; Emory University School of Medicine; Mercer University School of Medicine; Boston University School of Medicine; Tufts University School of Medicine; Creighton University School of Medicine; Stony Brook University School of Medicine,published school average GPA and MCAT,3.76; 3.7; 3.69; 3.82; 3.86; 3.89,513; 514; 503; 517,,source row carried an asterisk,Creighton University School of Medicine; Emory University School of Medicine; Georgetown University School of Medicine; Mercer University School of Medicine; Tufts University School of Medicine,published school average GPA and MCAT,3.86; 3.81; 3.76; 3.69; 3.82,513; 514.9; 503; 514,,,,,,,,
69,Hackensack Meridian School of Medicine,cycletrack_acceptance_median;shemmassian,2,minor_conflict,3.8;3.89,3.8 - 3.89,0.09,514;516,514 - 516,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Hackensack Meridian School of Medicine,published school average GPA and MCAT,3.8,514,,,,,,,,,Hackensack Meridian School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89,516,https://cycletrack.org/explorer/school/Hackensack Meridian,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
