cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
1,A.T. Still University School of Osteopathic Medicine Arizona (SOMA),shemmassian,1,single_source,3.53,3.53,,502,502,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,A.T. Still University School of Osteopathic Medicine Arizona (SOMA),published school average GPA and MCAT,3.53,502,,,,,,,,,,,,,,
2,A.T. Still University of Health Sciences (Arizona),cycletrack_acceptance_median,1,single_source,3.69;3.77,3.69 - 3.77,0.08,507;505,505 - 507,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,A.T. Still University of Health Sciences (Arizona); A.T. Still University of Health Sciences (Kirksville),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.69; 3.77,507; 505,https://cycletrack.org/explorer/school/A.T. Still - Arizona; https://cycletrack.org/explorer/school/A.T. Still - Kirksville,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
3,A.T. Still University of Health Sciences Kirksville College of Osteopathic Medicine,shemmassian,1,single_source,3.69,3.69,,503,503,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,A.T. Still University of Health Sciences Kirksville College of Osteopathic Medicine,published school average GPA and MCAT,3.69,503,,,,,,,,,,,,,,
4,Alabama College of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.6;3.5;3;3.7;3.75;3.58,3 - 3.75,0.75,503;500;505;503;504,500 - 505,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Alabama College of Osteopathic Medicine; Arkansas College of Osteopathic Medicine; Kansas College of Osteopathic Medicine,published school average GPA and MCAT,3.6; 3.5; 3,503; 500,,,,,,,,,Alabama College of Osteopathic Medicine; Arkansas College of Osteopathic Medicine; Kansas College of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.7; 3.75; 3.58,505; 503; 504,https://cycletrack.org/explorer/school/Alabama COM; https://cycletrack.org/explorer/school/Arkansas COM; https://cycletrack.org/explorer/school/Kansas COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
5,Albany Medical College,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.74;3.8;3.77;3.86,3.74 - 3.86,0.12,511;512;512;512.5,511 - 512.5,1.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Albany Medical College,published school average GPA and MCAT,3.74,511,http://www.amc.edu/Academic/Undergraduate_Admissions/index.cfm,,Albany Medical College,published school average GPA and MCAT,3.8,512,,,Albany Medical College,published school average GPA and MCAT,3.77,512,,,Albany Medical College,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,512.5,https://cycletrack.org/explorer/school/Albany,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
6,Albert Einstein College of Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.82;3.93,3.82 - 3.93,0.11,516;519,516 - 519,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Albert Einstein College of Medicine,published school average GPA and MCAT,3.82,516,,,,,,,,,Albert Einstein College of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,519,https://cycletrack.org/explorer/school/Albert Einstein,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
7,Albert Einstein College of Medicine of Yeshiva University,prospectivedoctor,1,single_source,3.81,3.81,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Albert Einstein College of Medicine of Yeshiva University,published school average GPA and MCAT,3.81,515,https://www.einsteinmed.edu/,,,,,,,,,,,,,,,,,,,
8,Alice L. Walton School of Medicine,cycletrack_acceptance_median,1,single_source,3.95,3.95,,513.5,513.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Alice L. Walton School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,513.5,https://cycletrack.org/explorer/school/Alice Walton,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
9,Arizona College of Osteopathic Medicine of Midwestern University,shemmassian,1,single_source,3.58;3.65,3.58 - 3.65,0.07,504;509,504 - 509,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Arizona College of Osteopathic Medicine of Midwestern University; Chicago College of Osteopathic Medicine of Midwestern University,published school average GPA and MCAT,3.58; 3.65,504; 509,,,,,,,,,,,,,,
10,Arizona State University,cycletrack_acceptance_median,1,single_source,3.96;3.9;3.87,3.87 - 3.96,0.09,516;510.5;514,510.5 - 516,5.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Arizona State University; Florida State University; Wayne State University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96; 3.9; 3.87,516; 510.5; 514,https://cycletrack.org/explorer/school/Arizona State; https://cycletrack.org/explorer/school/Florida State; https://cycletrack.org/explorer/school/Wayne State,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
